Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
1,Govardhan Mangilal Sharma Alias Lalaji,AAKOLA WEST,BJP,1,Graduate,"Rs 5,91,57,652 ~ 5 Crore+","Rs 1,97,05,877 ~ 1 Crore+"
2,Omprakash Babarao Kadu(Bachchu),ACHALPUR,Prahar Janshakti Party,32,12th Pass,"Rs 2,61,39,529 ~ 2 Crore+","Rs 1,08,44,761 ~ 1 Crore+"
3,Aatram Dharamraobaba Bhagwantrao,AHERI (ST),NCP,1,10th Pass,"Rs 9,78,80,923 ~ 9 Crore+","Rs 6,02,788 ~ 6 Lacs+"
4,Sangram Arunkaka Jagtap,AHMEDNAGAR CITY,NCP,1,Graduate,"Rs 10,42,16,455 ~ 10 Crore+","Rs 3,39,02,755 ~ 3 Crore+"
5,Babasaheb Mohanrao Patil,AHMEDPUR,NCP,0,Graduate,"Rs 6,94,63,932 ~ 6 Crore+","Rs 75,55,15,886 ~ 75 Crore+"
6,Sachin Panchappa Kalyanshetti,AKKALKOT,BJP,1,Graduate Professional,"Rs 4,28,98,321 ~ 4 Crore+","Rs 49,29,582 ~ 49 Lacs+"
7,Adv. K. C. Padavi,AKKALKUWA (ST),INC,0,Post Graduate,"Rs 4,38,74,032 ~ 4 Crore+","Rs 48,31,142 ~ 48 Lacs+"
8,Randhir Pralhadrao Sawarkar,AKOLA EAST,BJP,1,Graduate Professional,"Rs 17,02,21,142 ~ 17 Crore+","Rs 8,70,41,411 ~ 8 Crore+"
9,Dr. Kiran Yamaji Lahamate,AKOLE,NCP,0,Graduate Professional,"Rs 52,11,079 ~ 52 Lacs+","Rs 17,52,452 ~ 17 Lacs+"
10,Prakash Gunwantrao Bharsakale,AKOT,BJP,0,8th Pass,,"Rs 15,42,676 ~ 15 Lacs+"
11,Mahendra Hari Dalvi,ALIBAG,SHS,3,8th Pass,"Rs 32,53,99,325 ~ 32 Crore+","Rs 3,96,19,746 ~ 3 Crore+"
12,Anil Bhaidas Patil,AMALNER,NCP,4,Post Graduate,"Rs 5,86,64,332 ~ 5 Crore+","Rs 90,28,916 ~ 90 Lacs+"
13,Kinikar Balaji Pralhad,AMBARNATH (SC),SHS,0,Graduate Professional,"Rs 9,29,80,020 ~ 9 Crore+","Rs 1,63,98,667 ~ 1 Crore+"
