0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"SBI Home Loan
22,72,732  22 Lacs+

SBI Car Loan H20DP1199
1,45,252  1 Lacs+

Maharashtra Co Op Bank
3,61,874  3 Lacs+","Home Loan
11,95,015  11 Lacs+

Tractor Loan MH20AY5199 BOM
3,46,860  3 Lacs+",Nil,Nil,Nil,Nil,"Rs 43,21,733
43 Lacs+"
Loans due to Individual / Entity,"Manraj Finance
82,41,961  82 Lacs+

DH Shejul
25,32,000  25 Lacs+

Nafisabegum
5,00,000  5 Lacs+

Home Rent Mumbai
1,00,000  1 Lacs+

TDS Payable
93,000  93 Thou+","RS Pavar
12,00,000  12 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,26,66,961
1 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"1,42,46,819  1 Crore+","27,41,875  27 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,69,88,694
1 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,"3,20,000  3 Lacs+

1,15,715  1 Lacs+

1,00,000  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 5,35,715
5 Lacs+",
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),"5,35,715  5 Lacs+",0,Nil,Nil,Nil,Nil,"Rs 5,35,715
5 Lacs+"
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 1,47,82,534
1 Crore+","Rs 27,41,875
27 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,75,24,409
1 Crore+",
