0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"MSC Bank Housing Loan Date.30-09-2019
5,37,800  5 Lacs+

Sinnar Taluka Bahu Uddeshiya Shetkari Seva Sajkari Sanstha, Sinnar, Innova Car, Crop Loan
3,90,000  3 Lacs+

Somthane
5,00,000  5 Lacs+

VKS
1,20,000  1 Lacs+","NDCC Bank Gold Loan
21,28,700  21 Lacs+

Crop Loan
17,000  17 Thou+

Sardar Vallabbhai Patel Bigarsheti Sahakari Patsanstha Ltd Yeola
1,02,44,318  1 Crore+",Nil,"NDCC Bank Crop Loan
17,000  17 Thou+

Bank of Baroda Education Loan
25,40,447  25 Lacs+",Nil,Nil,"Rs 1,64,95,265
1 Crore+"
Loans due to Individual / Entity,"Mr.Deepak Pingale
5,00,000  5 Lacs+

Mr.Gopal Kulkarni
18,80,000  18 Lacs+

Mr.Navnath
3,00,000  3 Lacs+

Mr.Sudhakar Dandvate
30,00,000  30 Lacs+

Seema Kokate
40,83,255  40 Lacs+

Handloan
50,000  50 Thou+

V S Kokate
6,74,000  6 Lacs+","Mr.Gopal Kulkarni
15,00,000  15 Lacs+

Simantini Kokate
58,63,817  58 Lacs+

Dilip Pagere
15,86,000  15 Lacs+",Nil,"Vijay S. Kokate
8,50,000  8 Lacs+

Rajesh Bhosale
2,00,000  2 Lacs+

Manikrao Kokate
21,05,000  21 Lacs+

Gauri Trading Co.
3,99,592  3 Lacs+",Nil,Nil,"Rs 2,29,91,664
2 Crore+",
Any other Liability,"Agaomst Purchase of Land Mr.Ramnath Lonare
21,50,000  21 Lacs+

Mr.Rajendra Chavanke
21,50,000  21 Lacs+","Mr.Ramnath Lonare
21,50,000  21 Lacs+

Mr.Rajendra Chavanke
21,50,000  21 Lacs+",Nil,Nil,Nil,Nil,"Rs 86,00,000
86 Lacs+",
Grand Total of Liabilities (as per affidavit),"1,64,98,328  1 Crore+","2,12,19,127  2 Crore+",Nil,"90,19,698  90 Lacs+",Nil,Nil,"Rs 4,67,37,153
4 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 1,63,35,055
1 Crore+","Rs 2,56,39,835
2 Crore+",Nil,"Rs 61,12,039
61 Lacs+",Nil,Nil,"Rs 4,80,86,929
4 Crore+",
