0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Loans due to Individual / Entity,"Mr. Kailash Shettye
5,00,000  5 Lacs+

Mr. Manoja Sukhrani
5,00,000  5 Lacs+

Mr. mayuresh Awalegaonkar
5,00,000  5 Lacs+

Mr. Suradkar
50,000  50 Thou+

M/s. Omkar Realtors and Devlopers Pvt.Ltd
2,00,000  2 Lacs+

Mr. Rajesh Sukhrani
5,00,000  5 Lacs+

M/s. Siddhivinayak Construction Pvt. Ltd
11,00,000  11 Lacs+

M/s.Vijaykamal Properties
2,50,000  2 Lacs+

M/s. Vinayak Construction
2,00,000  2 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 38,00,000
38 Lacs+",
Any other Liability,"M/s.Cold Spot Village At Wada, Maharashtra, Satara
75,000  75 Thou+

Mr. Vishwanath Jairam Dhum
1,00,000  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,75,000
1 Lacs+",
Grand Total of Liabilities (as per affidavit),"39,75,000  39 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 39,75,000
39 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 39,75,000
39 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 39,75,000
39 Lacs+",
