0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,Nil,Nil,"SBI Personal Loan
12,84,220  12 Lacs+",Nil,Nil,Nil,"Rs 12,84,220
12 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,"Ashok Chavan HUF
1,93,19,012  1 Crore+

Sreejaya Chavan
3,05,388  3 Lacs+

Nikunj Sangeria
1,10,800  1 Lacs+

Ganesh Enterprises Nanded
9,84,500  9 Lacs+

Ujwal Enterprises (I) Pvt Ltd
1,11,645  1 Lacs+","Ashok Chavan HUF
1,11,23,442  1 Crore+

Ujwal Gas Service
1,97,884  1 Lacs+

Nikunj Sangeria
1,00,000  1 Lacs+

Sujaya Chavan
49,84,683  49 Lacs+

Ashok Chavan
18,23,610  18 Lacs+","Vikas More
40,000  40 Thou+

Sunita Bargal
10,500  10 Thou+",Nil,Nil,Nil,"Rs 3,91,11,464
3 Crore+",
Grand Total of Liabilities (as per affidavit),"2,08,31,345  2 Crore+","1,82,29,620  1 Crore+","13,34,720  13 Lacs+",Nil,Nil,Nil,"Rs 4,03,95,685
4 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,"2,16,070  2 Lacs+","1,01,662  1 Lacs+",Nil,Nil,Nil,"Rs 3,17,732
3 Lacs+"
Totals (Calculated as Sum of Values),"Rs 2,08,31,345
2 Crore+","Rs 1,84,45,689
1 Crore+","Rs 14,36,382
14 Lacs+",Nil,Nil,Nil,"Rs 4,07,13,416
4 Crore+",
