0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Sriram Nagri Sahkari Patsanatha
40,07,435  40 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 40,07,435
40 Lacs+"
Loans due to Individual / Entity,"Amol Benke
15,65,000  15 Lacs+

Amit Benke
59,45,448  59 Lacs+

Rajshri Benke
1,29,77,000  1 Crore+

Ballabh Benke
30,17,500  30 Lacs+

Vijay Ghogre
5,00,000  5 Lacs+

Ajit Jagtap
1,45,708  1 Lacs+

Tushar Padwal
2,50,000  2 Lacs+

Marbel Psibilities
18,48,330  18 Lacs+

Sunil Chavan
14,01,068  14 Lacs+

Saishree Developers
91,67,768  91 Lacs+

Subhshree Unicon
8,53,458  8 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 3,76,71,280
3 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"4,16,77,430  4 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 4,16,77,430
4 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 4,16,78,715
4 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 4,16,78,715
4 Crore+",
