0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,Nil,Nil,Nil,"Ashokrao Bankar
25,00,000  25 Lacs+",Nil,Nil,"Rs 25,00,000
25 Lacs+"
Loans due to Individual / Entity,"Diliprao Shankarrao Bankar HUF
90,34,985  90 Lacs+","Alka Ashokrao Bankar
31,83,827  31 Lacs+

Kamal Vilasrao Bankar
21,16,889  21 Lacs+

Vishal Ashokrao Bankar
2,24,850  2 Lacs+","Alka Ashokrao Bank
42,03,329  42 Lacs+

Vilasrao Bankar
15,34,138  15 Lacs+

Mahesh Vilasrao Bankar
13,84,000  13 Lacs+

Mandakini Bankar
23,30,000  23 Lacs+

Rahul Bankar
12,50,527  12 Lacs+

Vishal Bankar
16,68,862  16 Lacs+","Diliprao Bankar
5,00,000  5 Lacs+

Mandakini Bankar
5,95,597  5 Lacs+

Vishal Bankar
13,00,350  13 Lacs+","Diliprao Bankar HUF
72,17,000  72 Lacs+

Diliprao Bankar
5,00,000  5 Lacs+

Mandakini Bankar
17,00,000  17 Lacs+

Rahul Bankar
8,25,000  8 Lacs+",Nil,"Rs 3,95,69,354
3 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"90,34,985  90 Lacs+","55,25,566  55 Lacs+","1,23,70,856  1 Crore+","48,95,947  48 Lacs+","1,02,42,000  1 Crore+",Nil,"Rs 4,20,69,354
4 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,"3,86,791  3 Lacs+",Nil,"2,54,220  2 Lacs+",Nil,Nil,Nil,"Rs 6,41,011
6 Lacs+",
iii,Grand Total of all Govt Dues (as per affidavit),"3,86,791  3 Lacs+",Nil,"2,54,220  2 Lacs+",Nil,Nil,Nil,"Rs 6,41,011
6 Lacs+"
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 94,21,776
94 Lacs+","Rs 55,25,566
55 Lacs+","Rs 1,26,25,076
1 Crore+","Rs 48,95,947
48 Lacs+","Rs 1,02,42,000
1 Crore+",Nil,"Rs 4,27,10,365
4 Crore+",
