0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Toyota Financial Services Vehicle Loan NNGP1089059
1,12,360  1 Lacs+","G R Bhangdiya HUF
31,50,000  31 Lacs+

Mahendra Construction MG
10,00,000  10 Lacs+

Mitesh Bhangdiya
22,30,530  22 Lacs+

Arti Bhangdiya
30,34,129  30 Lacs+

MKS Acme Build Pvt Ltd
70,00,000  70 Lacs+

Mahendra Petroleum Servo Point
2,500  2 Thou+

Dipak Mohta
25,00,000  25 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,90,29,519
1 Crore+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,"Global MRI
6,90,000  6 Lacs+

Darshan Developers Pvt Ltd
16,00,00,000  16 Crore+","Aparna Infra Energy India Pvt Ltd
1,00,00,000  1 Crore+",Nil,Nil,Nil,Nil,"Rs 17,06,90,000
17 Crore+",
Grand Total of Liabilities (as per affidavit),"16,08,02,360  16 Crore+","2,89,17,159  2 Crore+",Nil,Nil,Nil,Nil,"Rs 18,97,19,519
18 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 16,08,02,360
16 Crore+","Rs 2,89,17,159
2 Crore+",Nil,Nil,Nil,Nil,"Rs 18,97,19,519
18 Crore+",
