0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Nathra Seva Crop Loan
4,08,000  4 Lacs+

Punjab National Bank
22,43,883  22 Lacs+

Shivajirao Bhosale Bank Term Loan
23,11,273  23 Lacs+

Shivajirao Bhosale Bank Term Loan
45,36,765  45 Lacs+

HDFC Bank Credit Card
4,35,000  4 Lacs+

State Bank Of India Credit Card
7,45,141  7 Lacs+

State Bank Of India Vehicle Loan
32,15,364  32 Lacs+

Bajaj Finance
8,84,506  8 Lacs+","Nathra Seva Crop Loan
4,08,000  4 Lacs+

State Bank Of India Vehicle Loan
14,43,816  14 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,66,31,748
1 Crore+"
Loans due to Individual / Entity,"Tata Motors Truck Loan
22,96,731  22 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 22,96,731
22 Lacs+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"1,70,76,664  1 Crore+","18,51,816  18 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,89,28,480
1 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending","Appeal No. 2018-19/3089
21,00,000  21 Lacs+

Appeal No. WTA47/PUN
2,60,564  2 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 23,60,564
23 Lacs+"
Totals (Calculated as Sum of Values),"Rs 1,94,37,227
1 Crore+","Rs 18,51,816
18 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,12,89,043
2 Crore+",
