0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"HOME LOAN
4,54,57,293  4 Crore+

HDFC CAR LOAN
9,16,507  9 Lacs+

ICICI CAR LOAN
42,22,603  42 Lacs+

MALAD SAHKARI BANK LTD
2,12,47,899  2 Crore+

MALAD SAHKARI BANK LTD UNSECURED LOAN
26,22,837  26 Lacs+

KANOI CAPITAL HOLDING LTD.
60,90,000  60 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 8,05,57,139
8 Crore+"
Loans due to Individual / Entity,"ARATI BUDHDEV
19,63,125  19 Lacs+

ABHAY SHYAM SUNDER CHANDAK
30,00,000  30 Lacs+

ASHWIN POPAT
15,00,000  15 Lacs+

CHANDRIKA HARESH VERMA
10,10,000  10 Lacs+

DIPESH MAHENDRA VORA
16,00,000  16 Lacs+

GEETA SHRINIVAS TRIPATHI
5,00,000  5 Lacs+

GUNJAL NILESH HARISHCHANDRA
26,00,000  26 Lacs+

HARISH JIVANDAS ANAM
15,00,000  15 Lacs+

HEMALI D VERMA
10,20,000  10 Lacs+

HOSHILADEVI PATHAK
5,00,000  5 Lacs+

H V VERMA
9,00,000  9 Lacs+

JAY KOTECHA
69,83,373  69 Lacs+

MOHANLAL SUTHAR
10,89,900  10 Lacs+

KIRIT BUDHEV
60,35,442  60 Lacs+

MORVEKAR NANDKUMAR
5,00,000  5 Lacs+

MRUDULA BHUTA
65,00,000  65 Lacs+

NEHA SUKESH ADATIA
5,25,000  5 Lacs+

NEUMEC DEVELOPMENT PNT LTD
49,75,890  49 Lacs+

NIMESH CHUNILAL SHAH HUF
25,00,000  25 Lacs+

PAYAL LOTECHA
42,65,228  42 Lacs+

RITESH JOBANPUTRA
4,00,000  4 Lacs+

S A POPAT
19,25,000  19 Lacs+

SIMRANS INTERIORS
9,75,000  9 Lacs+

URMI POPAT
19,25,000  19 Lacs+

VARUN VINOD ASRANI
10,00,000  10 Lacs+

VASANTBEN NAVIN ANAM
11,65,845  11 Lacs+

VIDYANAND SHRIKANT PATHAK
31,57,500  31 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 6,00,16,303
6 Crore+",
Any other Liability,"2,06,65,545  2 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 2,06,65,545
2 Crore+",
Grand Total of Liabilities (as per affidavit),"15,62,63,545  15 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 15,62,63,545
15 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),0,Nil,Nil,Nil,Nil,Nil,Rs 0
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 16,12,38,987
16 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 16,12,38,987
16 Crore+",
