0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"SBI SAMRUDDHA RESOURCES
17,50,00,000  17 Crore+

CANARA BANK TECH SUTE IND
5,50,00,000  5 Crore+

SBI WORLI TECHSUIT IND
1,90,00,000  1 Crore+

CANARA BANK SAMRUDDHA FOODS
2,04,00,000  2 Crore+

CANARA BANK SAMRUDDHA FOODS
45,00,000  45 Lacs+

COSMOS BANK JAWAHAR EDU
2,80,00,000  2 Crore+

SARASWAT COOP BANK JAWAHAR EDU SOC
8,50,00,000  8 Crore+","DHULE VIKAS BANK CC A/C
50,00,000  50 Lacs+",Nil,Nil,Nil,Nil,"Rs 39,19,00,000
39 Crore+"
Loans due to Individual / Entity,"VIJAY DEVRE
5,55,000  5 Lacs+

SANDEEP DEVRE
5,55,000  5 Lacs+

SAMRUDDHA RESOURCES
95,34,500  95 Lacs+

FHZ OVERSEAS
25,00,000  25 Lacs+

KALAHASTI DEVELOP FARMING
10,50,000  10 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,41,94,500
1 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"38,74,79,000  38 Crore+","50,00,000  50 Lacs+",Nil,Nil,Nil,Nil,"Rs 39,24,79,000
39 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 40,10,94,500
40 Crore+","Rs 50,00,000
50 Lacs+",Nil,Nil,Nil,Nil,"Rs 40,60,94,500
40 Crore+",
