0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Indusland Bank CV Loan MH42AQ5012 TATA 2823TK18
34,39,894  34 Lacs+

Indusland Bank CV Loan MH42AQ5014 TATA 2823TK18
34,39,894  34 Lacs+

Indusland Bank CV Loan MH42AQ5015 TATA 2823TK18
34,39,894  34 Lacs+

Indusland Bank CV Loan MH42AQ5016 TATA 2823TK18
34,39,894  34 Lacs+

Indusland Bank CV Loan MH42SQ5017 TATA 2823TK18
34,39,894  34 Lacs+

Indusland Bank CV Loan MH42AQ5018 TATA 2823TK18
34,39,894  34 Lacs+

Indusland Bank CV Loan MH42AQ5019 TATA 2823TK18
34,39,894  34 Lacs+

Indusland Bank CV Loan MH42AQ5020 TATA 2823TK18
34,39,894  34 Lacs+

Indusland Bank CV Loan MH42AQ5021 TATA 2823TK18
34,39,894  34 Lacs+

Indusland Bank CV Loan MH42AQ5022 TATA 2823TK18
34,39,894  34 Lacs+

Tata Finance CV Loan MH42AQ9211 LPK2518TC
27,39,000  27 Lacs+

Tata Finance CV Loan MH42AQ4211 LPK2518TC
27,39,000  27 Lacs+

Tata Finance CV Loan Bulker Mixer
3,84,602  3 Lacs+

Tata Finance CV Loan Bulker Mixer
3,84,602  3 Lacs+

Punjab Punjab& Sind Bank Pune Branch Vechile Loan MH42AX111 Benz GI 250
45,24,692  45 Lacs+

Punjab& Sind Bank Pune Branch Vechile Loan MH42AX7111 Honda City
7,89,706  7 Lacs+

Stone crusher Kotak Bank
1,40,58,000  1 Crore+

Home loan Punjab& sind Bank
92,83,643  92 Lacs+

Business Loan OD Account Pinjab & sind Bank
1,84,82,482  1 Crore+

Business LOan SBI Bramati Branch
1,00,00,000  1 Crore+

SBI Agri ATL Loan
26,82,000  26 Lacs+","Home Loan State Bank opf India Baramati Branch
28,000  28 Thou+

PDCCBank Shelgaon
12,00,000  12 Lacs+",Nil,Nil,Nil,Nil,"Rs 10,16,94,667
10 Crore+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"10,04,66,667  10 Crore+","12,28,000  12 Lacs+",Nil,Nil,Nil,Nil,"Rs 10,16,94,667
10 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 10,04,66,667
10 Crore+","Rs 12,28,000
12 Lacs+",Nil,Nil,Nil,Nil,"Rs 10,16,94,667
10 Crore+",
