0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Bharat Co Op Bank Ltd Vehicle Loan
8,47,587  8 Lacs+","Bharat Co Op Bank Ltd Vehicle Loan
7,74,071  7 Lacs+

IDBI Bank Housing Loan
39,53,423  39 Lacs+",Nil,Nil,Nil,Nil,"Rs 55,75,081
55 Lacs+"
Loans due to Individual / Entity,"Lata Dyanesh
1,00,000  1 Lacs+","Mr Vilas Mhatre
1,50,000  1 Lacs+

Mandhare
5,00,000  5 Lacs+

Mr Mangesh Kudalkar
17,35,000  17 Lacs+

Mrs Pushpa Mane
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 29,85,000
29 Lacs+",
Any other Liability,Nil,"Flat Security Deposit
1,50,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,50,000
1 Lacs+",
Grand Total of Liabilities (as per affidavit),"9,47,587  9 Lacs+","77,82,494  77 Lacs+",Nil,Nil,Nil,Nil,"Rs 87,30,081
87 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 9,47,587
9 Lacs+","Rs 77,62,494
77 Lacs+",Nil,Nil,Nil,Nil,"Rs 87,10,081
87 Lacs+",
