0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Cosmos Co-Op.Bank, Term Loan
1,02,79,446  1 Crore+

IDBI Bank House Loan
2,03,21,198  2 Crore+

HDFC Bank Term Loan
2,08,90,883  2 Crore+

ICICI Bank House Loan
2,94,03,771  2 Crore+","cosmos co-Op.Bank,Term Loan
1,02,79,446  1 Crore+

Axis Bank Vechicle Loan
13,63,050  13 Lacs+",Nil,Nil,Nil,Nil,"Rs 9,25,37,794
9 Crore+"
Loans due to Individual / Entity,"partnership Loan Vihang City Developers
4,37,070  4 Lacs+

Vihang Constraction And Hospiliti L.L.P.
83,44,51,160  83 Crore+

Vihang Enterprises
3,14,63,700  3 Crore+

V.N.Enterprises
21,20,900  21 Lacs+

Individual Loan- Netra ajit Vijaykar
10,00,00,000  10 Crore+

Dela Enclev Pvt.Ltd
75,00,000  75 Lacs+

Purvesh surnaik
1,11,27,660  1 Crore+

Aastha Spaces L.L.P.
4,26,820  4 Lacs+

Yogesh Chandegala
10,00,560  10 Lacs+

Unic Shanti Rialaters
32,35,000  32 Lacs+

Jayesh Maru
35,00,000  35 Lacs+

Jayvant Vaiti
2,80,00,000  2 Crore+

Priyal Avi Enterprises
10,00,000  10 Lacs+

Depostis Amount- Prashant Corner,Thane
15,00,000  15 Lacs+

Jubiliyant Food Ltd
30,00,000  30 Lacs+","Personal Loan- Purvesh surnaik
31,25,000  31 Lacs+

Vihang Enterprises
45,000  45 Thou+

Yogesh Chandegala
43,280  43 Thou+

Pratap Surnaik
46,37,612  46 Lacs+

V.N.Developers
8,58,400  8 Lacs+

V.N.Enterprises
55,99,800  55 Lacs+

Ashok Hapani
1,16,00,000  1 Crore+

Paternership Loan- Vihang Constraction And Hospital L.L.P.
2,36,66,050  2 Crore+",Nil,Nil,Nil,Nil,"Rs 1,07,83,38,012
107 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"1,10,96,58,168  110 Crore+","6,12,17,638  6 Crore+",Nil,Nil,Nil,Nil,"Rs 1,17,08,75,806
117 Crore+",
ii,Dues to departments dealing with government accommodation,"Manora aamdar Niwas, Part No. D-165
0*(Value Not Given)",Nil,Nil,Nil,Nil,Nil,Rs 0
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,"Income Tax Bhawan- Economicic Years-2010-11 (Income Tax Officer,Thane)
43,18,720  43 Lacs+",Nil,Nil,Nil,Nil,"Rs 43,18,720
43 Lacs+"
Totals (Calculated as Sum of Values),"Rs 1,10,96,58,168
110 Crore+","Rs 6,55,36,358
6 Crore+",Nil,Nil,Nil,Nil,"Rs 1,17,51,94,526
117 Crore+",
