0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Bank Of India
5,17,000  5 Lacs+

Sharad Vikas Society Crop Loan
3,00,000  3 Lacs+

Sharad Vikas Society Khavti Loan
1,73,800  1 Lacs+

Kisan Sahayy Loan
3,75,000  3 Lacs+

Vehicle Loan Toyota Finance
12,99,467  12 Lacs+

Mahindra Finance
2,27,508  2 Lacs+","Bank Of India
5,11,000  5 Lacs+

Sharad Vikas Society Crop Loan
3,00,000  3 Lacs+

Sharad Vikas Society Khavti Loan
1,73,800  1 Lacs+",Nil,"Bank Of India
5,11,000  5 Lacs+

Sharad Vikas Society Crop Loan
1,52,000  1 Lacs+

Sharad Vikas Society Khavti Loan
88,000  88 Thou+

Kisan Sahaay Loan
1,10,900  1 Lacs+

Kallapanna Avade Bank
49,49,656  49 Lacs+",Nil,"Sharad Vikas Society
3,00,000  3 Lacs+

Sharad Vikas Society Khavti Loan
1,73,800  1 Lacs+","Rs 1,01,62,931
1 Crore+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"28,92,775  28 Lacs+","9,84,800  9 Lacs+",Nil,"58,11,556  58 Lacs+",Nil,"4,73,800  4 Lacs+","Rs 1,01,62,931
1 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 28,92,775
28 Lacs+","Rs 9,84,800
9 Lacs+",Nil,"Rs 58,11,556
58 Lacs+",Nil,"Rs 4,73,800
4 Lacs+","Rs 1,01,62,931
1 Crore+",
