0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"SBI Car Loan
4,96,373  4 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 4,96,373
4 Lacs+"
Loans due to Individual / Entity,"R Rana Land Developers And Builders
40,45,000  40 Lacs+

S Shethi
20,00,000  20 Lacs+","Lakhvindersingh
35,00,000  35 Lacs+

Madhuri Patle
5,00,000  5 Lacs+

Premjit Patle
10,00,000  10 Lacs+

Sahana Properties And Resort Pvt Ltd
2,50,00,000  2 Crore+

Transcan Developers Pvt Ltd
1,50,00,000  1 Crore+

Sahana Builders & Developers Pvt Ltd
1,70,00,000  1 Crore+

Vikas Kejrival
24,75,000  24 Lacs+

S Shethi
70,00,000  70 Lacs+",Nil,Nil,Nil,Nil,"Rs 7,75,20,000
7 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"65,41,373  65 Lacs+","7,14,75,000  7 Crore+",Nil,Nil,Nil,Nil,"Rs 7,80,16,373
7 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 65,41,373
65 Lacs+","Rs 7,14,75,000
7 Crore+",Nil,Nil,Nil,Nil,"Rs 7,80,16,373
7 Crore+",
