0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Loans due to Individual / Entity,"Manisha Vaikar
3,88,487  3 Lacs+

Narendra Karalkar
4,00,000  4 Lacs+

Sandra Construction
5,00,000  5 Lacs+

Ganesh Chavhan
28,75,000  28 Lacs+

Ichapurti Production
21,58,829  21 Lacs+

Ravindra Savant
4,50,000  4 Lacs+

Green Olive Travels
2,45,000  2 Lacs+","Jai Santoshimata
13,25,000  13 Lacs+

Ganesh Chavhan
2,30,000  2 Lacs+

Mahakali Joggers Park
1,00,000  1 Lacs+

Others
3,25,000  3 Lacs+","Ravindra Vaikar
2,06,00,000  2 Crore+

Manisha Vaikar
75,50,000  75 Lacs+

Dipti Vaikar
17,00,000  17 Lacs+",Nil,Nil,Nil,"Rs 3,88,47,316
3 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"70,17,316  70 Lacs+","19,80,000  19 Lacs+","2,98,50,000  2 Crore+",Nil,Nil,Nil,"Rs 3,88,47,316
3 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 70,17,316
70 Lacs+","Rs 19,80,000
19 Lacs+","Rs 2,98,50,000
2 Crore+",Nil,Nil,Nil,"Rs 3,88,47,316
3 Crore+",
