0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,Nil,"Saraswat Bank, Car Loan
5,70,089  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 5,70,089
5 Lacs+"
Loans due to Individual / Entity,"Samadhan Sarvankar
41,81,500  41 Lacs+

Indrajit Chouhan
22,00,000  22 Lacs+","Atul Gurav
5,30,000  5 Lacs+

Heramb Construction
2,05,000  2 Lacs+

Milind Bhingarde
2,49,000  2 Lacs+

Narang Rajkumar
3,00,000  3 Lacs+

Priya Sarvankar
6,24,000  6 Lacs+

Sadanand Sarvankar
3,00,000  3 Lacs+

Samadhan Sarvankar
1,50,00,000  1 Crore+

Shubham Sarvankar
2,00,000  2 Lacs+

Shweta Sarvankar
59,425  59 Thou+

Deposit Cash Hand Hospitality
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,43,48,925
2 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"63,81,500  63 Lacs+","1,85,37,514  1 Crore+",Nil,Nil,Nil,Nil,"Rs 2,49,19,014
2 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending","Tax Department, (Sai Rachna Society)
63,38,220  63 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 63,38,220
63 Lacs+"
Totals (Calculated as Sum of Values),"Rs 1,27,19,720
1 Crore+","Rs 1,85,37,514
1 Crore+",Nil,Nil,Nil,Nil,"Rs 3,12,57,234
3 Crore+",
