0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Pandharpur urbon Bank
1,12,88,468  1 Crore+

Punjab National Bank
1,32,56,538  1 Crore+

Pinavi Hausis
3,39,72,629  3 Crore+

punjab national bank kothrood
43,47,000  43 Lacs+

punjab bank
55,00,000  55 Lacs+

l.i.c odi
2,86,70,000  2 Crore+","NIMGAAV BANK
17,70,000  17 Lacs+

punjab national bank
50,00,000  50 Lacs+","NIMGAAV BANK
15,50,000  15 Lacs+","nimgaav bank
10,00,000  10 Lacs+

punjab bank
20,00,000  20 Lacs+","nimgaav bank
11,50,000  11 Lacs+",Nil,"Rs 10,95,04,635
10 Crore+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,"vitthal corporatyion
8,83,652  8 Lacs+

rajratn milk
3,05,000  3 Lacs+

yashwant motor
1,00,000  1 Lacs+

othere
2,18,00,000  2 Crore+","vitthal corporation
12,99,894  12 Lacs+

2,34,517  2 Lacs+","rajratn milk
6,20,000  6 Lacs+

forming centre
52,960  52 Thou+

vitthal corporation
5,98,439  5 Lacs+

1,33,451  1 Lacs+","vitthal corporation
25,70,719  25 Lacs+

1,400  1 Thou+","vitthal corporation
9,04,075  9 Lacs+

v g nailkwadi company
56,626  56 Thou+

51,880  51 Thou+",Nil,"Rs 2,96,12,613
2 Crore+",
Grand Total of Liabilities (as per affidavit),"12,01,23,287  12 Crore+","83,04,411  83 Lacs+","29,54,850  29 Lacs+","55,72,119  55 Lacs+","21,70,581  21 Lacs+",Nil,"Rs 13,91,25,248
13 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 12,01,23,287
12 Crore+","Rs 83,04,411
83 Lacs+","Rs 29,54,850
29 Lacs+","Rs 55,72,119
55 Lacs+","Rs 21,62,581
21 Lacs+",Nil,"Rs 13,91,17,248
13 Crore+",
