0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Talegaon Nagri Sahkari Bank
28,47,170  28 Lacs+

Pai Vishwanath Bhegade Patsanstha
40,24,409  40 Lacs+

Dharmaveer Nagri Sahkari Patsanstha
11,10,018  11 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 79,81,597
79 Lacs+"
Loans due to Individual / Entity,"ABHIJEET ENTERPRISES
5,00,000  5 Lacs+

ARUN PAWAR
1,00,000  1 Lacs+

BRIJENDRA KILLAWALA
22,50,000  22 Lacs+

CYZACHEM PVT LTD
2,00,00,000  2 Crore+

GO LITE (GIYA BHAI)
20,00,000  20 Lacs+

MARATHE RAMCHANDRA
5,00,000  5 Lacs+

SHELKE SHANKARRAO BAJIRAO
47,91,116  47 Lacs+

SHELKE SUDHAKAR
81,79,086  81 Lacs+

GANGA ASSOCIATES
13,07,260  13 Lacs+

KHANDGE AND DHORE FAMILY
10,00,000  10 Lacs+

VASTU DEVELOPERS
24,00,000  24 Lacs+

SANTOSH SHELKE
3,00,000  3 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 4,33,27,462
4 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"5,13,09,059  5 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 5,13,09,059
5 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 5,13,09,059
5 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 5,13,09,059
5 Crore+",
