0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"TOYOTA FINANCE
1,49,468  1 Lacs+

LIC HOUSING FINANCE
1,63,98,051  1 Crore+

MR. BABULAL DHUT
4,50,000  4 Lacs+

DEVYANI LOGISTICS SERVICES
10,00,000  10 Lacs+

PRAMOD PUNYA PAWAR
2,83,000  2 Lacs+

KAMLABAI WEDDTIWAR
78,508  78 Thou+

MADHURI PALKAR
75,041  75 Thou+

S.V.P.M.
15,00,000  15 Lacs+

SHIVANI INFOTECH
1,50,000  1 Lacs+

VMIT ENGINEERING
1,00,000  1 Lacs+

SHRAVAN WEDDTIWAR
2,15,800  2 Lacs+

ADV. MADKHOLKAR
12,70,000  12 Lacs+","TOYOTA FINANCE
13,24,776  13 Lacs+

AXIS BANK
3,10,95,600  3 Crore+

AXIS BANK
1,44,47,310  1 Crore+

DHRAMPETH MAHILA
1,07,45,901  1 Crore+

DEVYANI LOGISTICS SERVICES
2,03,10,000  2 Crore+

DEVYANI INTERNATIONAL SCHOOL
4,00,000  4 Lacs+

DEVYANI TRADE LINK
3,38,43,804  3 Crore+

DEVYANI WEDDTIWAR
15,12,254  15 Lacs+

DHANTERAS BARTER PRIVATE LTD.
15,48,975  15 Lacs+

JAYANT PALKAR
1,27,00,000  1 Crore+

KAMALABAI WEDDTIWAR
5,71,024  5 Lacs+

MADHURI PALKAR
10,00,000  10 Lacs+

SHIVANI INFOTECH
3,94,05,000  3 Crore+

M.V. INFRA.
14,64,279  14 Lacs+

MANOHAR HICHAVANI
1,14,00,000  1 Crore+

SANJAY PANDILWAR
1,00,000  1 Lacs+

SHARDA RICE MEALS
2,06,344  2 Lacs+

NILESH HARLE
2,40,000  2 Lacs+

NIKHIL SURAMWAR
7,50,000  7 Lacs+

ROSHNI WEDDTIWAR
14,47,533  14 Lacs+

SANJAY WEDDTIWAR
1,00,000  1 Lacs+

SEMANA VIDYA PRAKASAN
23,00,000  23 Lacs+

SHIVANI SARVO
40,00,000  40 Lacs+

SHIVANI WEDDTIWAR
85,753  85 Thou+

ASHOKA SOLAR
3,12,500  3 Lacs+

SHRAVAN WEDDTIWAR
95,000  95 Thou+

SAI BABA AGRO
52,00,000  52 Lacs+

VIJAY WEDDTIWAR
30,90,258  30 Lacs+

VM INSTITUTE OF MANAGEMENT
8,99,893  8 Lacs+",Nil,Nil,Nil,Nil,"Rs 22,22,66,072
22 Crore+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"2,16,69,868  2 Crore+","20,05,96,205  20 Crore+",Nil,Nil,Nil,Nil,"Rs 22,22,66,073
22 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),0,0,Nil,Nil,Nil,Nil,Rs 0
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 2,16,69,868
2 Crore+","Rs 20,05,96,204
20 Crore+",Nil,Nil,Nil,Nil,"Rs 22,22,66,072
22 Crore+",
