
i,Loans from Banks / FIs,"Latur District Bank KCC
10,24,000  10 Lacs+

The Maharashtra State Co Op Bank Shirur Tajband Survey No.10
75,00,00,000  75 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 75,10,24,000
75 Crore+"
Loans due to Individual / Entity,"Bharate Jivan Mohanrao
5,00,000  5 Lacs+

Bharate Mohanrao Vamanrao
5,00,000  5 Lacs+

Bharate Shakarrao Sopanrao
5,00,000  5 Lacs+

Bharate Tukaram Ramling
5,00,000  5 Lacs+

Dhangle Bapurao Kishanrao
5,00,000  5 Lacs+

Dhengle Laxman Madhav
5,00,000  5 Lacs+

Shelke Vikas Baburao
5,00,000  5 Lacs+

Vaidh Vishvambhar Kishanrao
4,60,760  4 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 39,60,760
39 Lacs+"
Any other Liability,Nil,Nil,"5,31,126  5 Lacs+",Nil,Nil,Nil,"Rs 5,31,126
5 Lacs+"
Grand Total of Liabilities (as per affidavit),"75,55,15,886  75 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 75,55,15,886
75 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 75,49,84,760
75 Crore+",Nil,"Rs 5,31,126
5 Lacs+",Nil,Nil,Nil,"Rs 75,55,15,886
75 Crore+"
