
i,Loans from Banks / FIs,"Bank of Maharashtra Chiplun
6,90,425  6 Lacs+

Sharda Kat Industries
33,75,000  33 Lacs+

Joint Loan From Bank of Maharashtra
1,62,43,053  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 2,03,08,478
2 Crore+"
Loans due to Individual / Entity,"Loan on Land
2,39,24,922  2 Crore+","Loan on Land
72,33,750  72 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,11,58,672
3 Crore+"
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"4,42,33,400  4 Crore+","72,33,750  72 Lacs+",Nil,Nil,Nil,Nil,"Rs 5,14,67,150
5 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 4,42,33,400
4 Crore+","Rs 72,33,750
72 Lacs+",Nil,Nil,Nil,Nil,"Rs 5,14,67,150
5 Crore+"
