
i,Loans from Banks / FIs,"Shriram Finance
9,00,000  9 Lacs+","Home Loan Punjab National Bank
1,28,24,155  1 Crore+",Nil,Nil,Nil,Nil,"Rs 1,37,24,155
1 Crore+"
Loans due to Individual / Entity,"Sunita Dhatre (Sister)
15,00,000  15 Lacs+","Vidya Vijay Sunbhe
25,00,000  25 Lacs+

Momin Hasan
2,50,000  2 Lacs+

Mahesh Choughule
16,70,000  16 Lacs+",Nil,Nil,Nil,Nil,"Rs 59,20,000
59 Lacs+"
Any other Liability,"5,96,540  5 Lacs+","11,71,240  11 Lacs+",Nil,Nil,Nil,Nil,"Rs 17,67,780
17 Lacs+"
Grand Total of Liabilities (as per affidavit),"29,96,540  29 Lacs+","1,84,15,395  1 Crore+",Nil,Nil,Nil,Nil,"Rs 2,14,11,935
2 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 29,96,540
29 Lacs+","Rs 1,84,15,395
1 Crore+",Nil,Nil,Nil,Nil,"Rs 2,14,11,935
2 Crore+"
