
i,Loans from Banks / FIs,"Daimler Financial Services Pvt Ltd
12,06,057  12 Lacs+

LIC
1,92,750  1 Lacs+","Abhinav Sahakari Bank Ltd
3,86,060  3 Lacs+

Abhinav Sahakari Bank Ltd
2,19,043  2 Lacs+

Daimler Financial Services Pvt Ltd
24,65,161  24 Lacs+

Punjab National Bank Home Loan 004596
83,02,603  83 Lacs+

Punjab National Bank 004082
50,54,216  50 Lacs+

Punjab National Bank 00096
25,21,244  25 Lacs+

Punjab National Bank 00102
10,35,122  10 Lacs+

Punjab National Bank 1816/107
2,58,240  2 Lacs+

Punjab National Bank 1817/109
4,98,541  4 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,21,39,037
2 Crore+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"13,98,807  13 Lacs+","2,07,40,230  2 Crore+",Nil,Nil,Nil,Nil,"Rs 2,21,39,037
2 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,"Entertainment Duty Tax
54,42,581  54 Lacs+","Entertainment Duty Tax
87,82,730  87 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,42,25,311
1 Crore+"
iii,Grand Total of all Govt Dues (as per affidavit),"54,42,581  54 Lacs+","87,82,730  87 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,42,25,311
1 Crore+"
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending","2,05,16,119  2 Crore+","2,63,35,493  2 Crore+",Nil,Nil,Nil,Nil,"Rs 4,68,51,612
4 Crore+"
Totals (Calculated as Sum of Values),"Rs 2,73,57,507
2 Crore+","Rs 5,58,58,453
5 Crore+",Nil,Nil,Nil,Nil,"Rs 8,32,15,960
8 Crore+"
