
i,Loans from Banks / FIs,"HDFC BANK
50,00,000  50 Lacs+

DHFL BANK
51,00,000  51 Lacs+

SARVODAYA BANK
60,00,000  60 Lacs+","Sarvodaya bank
60,00,000  60 Lacs+

SBI bank
21,00,000  21 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,42,00,000
2 Crore+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"1,61,00,000  1 Crore+","81,00,000  81 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,42,00,000
2 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,"24,37,182  24 Lacs+","3,70,000  3 Lacs+",Nil,Nil,Nil,Nil,"Rs 28,07,182
28 Lacs+"
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,"4,21,418  4 Lacs+",Nil,Nil,Nil,Nil,"Rs 4,21,418
4 Lacs+"
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),"24,37,182  24 Lacs+","7,91,418  7 Lacs+",Nil,Nil,Nil,Nil,"Rs 32,28,600
32 Lacs+"
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 1,85,37,182
1 Crore+","Rs 88,91,418
88 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,74,28,600
2 Crore+"
