
i,Loans from Banks / FIs,"New India Co op Bank Car Loan & Businss Loan
47,42,441  47 Lacs+

Loan Deposite Provision
2,37,10,374  2 Crore+","New India Co op Bank Car Loan & Businss Loan
7,21,59,610  7 Crore+

Loan Deposite Provision
4,37,18,891  4 Crore+","Loan Deposite Provision
6,81,940  6 Lacs+",Nil,Nil,Nil,"Rs 14,50,13,256
14 Crore+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"2,84,52,815  2 Crore+","11,58,78,501  11 Crore+","6,81,940  6 Lacs+",Nil,Nil,Nil,"Rs 14,50,13,256
14 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 2,84,52,815
2 Crore+","Rs 11,58,78,501
11 Crore+","Rs 6,81,940
6 Lacs+",Nil,Nil,Nil,"Rs 14,50,13,256
14 Crore+"
