
i,Loans from Banks / FIs,"Nishant Multistate Coop.Society
8,496  8 Thou+

Nishant Multistate Coop.Society
1,52,88,712  1 Crore+

Sewa Sahakari Sanstha
1,08,800  1 Lacs+","Sewa Sahakari Sanstha
64,741  64 Thou+",Nil,Nil,Nil,Nil,"Rs 1,54,70,749
1 Crore+"
Loans due to Individual / Entity,"M/s Future Sales & Services
2,40,000  2 Lacs+

R.P. Sawarkar -HUF
6,11,028  6 Lacs+

Manjusha R.Sawarkar
1,60,61,000  1 Crore+

Pralhadraoji Sawarkar
1,31,63,500  1 Crore+

Kastkar Krushi Sewa Kendra
1,12,602  1 Lacs+

Unanti Nagar
36,69,463  36 Lacs+

Next Shoppee
84,72,339  84 Lacs+

Avinash Madhavrao Kulat
81,73,991  81 Lacs+

Pundlik Sakharamji Nimkande
76,64,166  76 Lacs+

Sudhir Nanaji Lakhdive-HUF
20,00,000  20 Lacs+

Vidarbha Publication-Plot adv
6,37,000  6 Lacs+

Advance received for purchases in Next Shopee
1,00,00,000  1 Crore+","Next Info
7,65,573  7 Lacs+",Nil,Nil,Nil,Nil,"Rs 7,15,70,662
7 Crore+"
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"8,62,11,097  8 Crore+","8,30,314  8 Lacs+",Nil,Nil,Nil,Nil,"Rs 8,70,41,411
8 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 8,62,11,097
8 Crore+","Rs 8,30,314
8 Lacs+",Nil,Nil,Nil,Nil,"Rs 8,70,41,411
8 Crore+"
