
i,Loans from Banks / FIs,Nil,"Home Loan Axis Bank
1,22,26,884  1 Crore+

Vehicle Loan Axis Bank
50,67,342  50 Lacs+

Credit Card HDFC Bank
1,83,921  1 Lacs+

Axis Bank Credit Card
7,028  7 Thou+",Nil,Nil,Nil,Nil,"Rs 1,74,85,175
1 Crore+"
Loans due to Individual / Entity,Nil,"Debit Balance Partnership Firm
6,98,100  6 Lacs+",Nil,Nil,Nil,Nil,"Rs 6,98,100
6 Lacs+"
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),Nil,"1,81,83,275  1 Crore+",Nil,Nil,Nil,Nil,"Rs 1,81,83,275
1 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),Nil,"Rs 1,81,83,275
1 Crore+",Nil,Nil,Nil,Nil,"Rs 1,81,83,275
1 Crore+"
