
i,Loans from Banks / FIs,"UNION BANK OF INDIA
98,58,198  98 Lacs+

di maharastra SBI BANK MAHAD
3,27,000  3 Lacs+",Nil,"VIDHARBHA SHEKTRIY KOKAN GRAMIN BANK
3,24,607  3 Lacs+",Nil,Nil,Nil,"Rs 1,05,09,805
1 Crore+"
Loans due to Individual / Entity,"USANVARI
96,67,437  96 Lacs+","USANVARI
3,70,000  3 Lacs+","USANVARI
10,50,000  10 Lacs+",Nil,Nil,Nil,"Rs 1,10,87,437
1 Crore+"
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"1,98,52,635  1 Crore+","3,70,000  3 Lacs+","13,74,607  13 Lacs+",Nil,Nil,Nil,"Rs 2,15,97,242
2 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 1,98,52,635
1 Crore+","Rs 3,70,000
3 Lacs+","Rs 13,74,607
13 Lacs+",Nil,Nil,Nil,"Rs 2,15,97,242
2 Crore+"
