
i,Loans from Banks / FIs,"CKP BANK HSG LOAN
46,70,385  46 Lacs+","CKP BANK HSG LOAN
46,70,385  46 Lacs+",Nil,Nil,Nil,Nil,"Rs 93,40,770
93 Lacs+"
Loans due to Individual / Entity,"Balkrushna G Bhoir
3,72,000  3 Lacs+

Bipin Kamdar
5,00,000  5 Lacs+

Jayesh Shah
10,50,000  10 Lacs+

jyoti Shah
7,50,000  7 Lacs+

komal B Bhoir
9,65,000  9 Lacs+

Sunanda B BHoir
8,02,000  8 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 44,39,000
44 Lacs+"
Any other Liability,"Babli Dattatray Chavan
25,89,838  25 Lacs+

Kawaldeep Thind
31,00,000  31 Lacs+

Suhasi Chavan
35,00,000  35 Lacs+

M/s honey Inter P Ltd
25,00,000  25 Lacs+

M/s Kas Enterprises
12,00,000  12 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,28,89,838
1 Crore+"
Grand Total of Liabilities (as per affidavit),"2,19,99,223  2 Crore+","46,70,385  46 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,66,69,608
2 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 2,19,99,223
2 Crore+","Rs 46,70,385
46 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,66,69,608
2 Crore+"
