
i,Loans from Banks / FIs,"Pruthviraj Petrolatum & Rajtej Builders & Developers
0  

Bholavade Vikas Society Loan
3,00,000  3 Lacs+","Tanker Loan, Bank of Maharashtra
1,43,907  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 4,43,907
4 Lacs+"
Loans due to Individual / Entity,"Anamat Thev Versova, Mumbai
2,50,000  2 Lacs+","Sangram Thopte Loan
19,76,400  19 Lacs+",Nil,Nil,Nil,Nil,"Rs 22,26,400
22 Lacs+"
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"5,50,000  5 Lacs+","21,20,307  21 Lacs+",Nil,Nil,Nil,Nil,"Rs 26,70,307
26 Lacs+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 5,50,000
5 Lacs+","Rs 21,20,307
21 Lacs+",Nil,Nil,Nil,Nil,"Rs 26,70,307
26 Lacs+"
