
i,Loans from Banks / FIs,"punjab National Bank Ghagargaon
17,62,651  17 Lacs+

Vivadh Karykari Society Banpimpa
5,26,310  5 Lacs+

Bank Of india Ahmednagar
2,18,411  2 Lacs+

Bank Of India Anand Dham Ahmednagar
6,70,668  6 Lacs+

Bank Of India Anand dham Ahmednagar
124  1 Hund+

State Bank Of India Burudgaon Road Ahmednagar
15,83,236  15 Lacs+

ahmednagar Merchants Co Op Bank Ltd Market Yard Branch Ahmednagar
0  

Ahmednagar Merchants Merchants Co Op Bank Ltd Market Yard Branch Ahmednagar
37,07,421  37 Lacs+

Ahmednagar Merchants Co Op Bank Ltd Market Yard Branch Ahmednagar
4,23,353  4 Lacs+

Ahmednagar Mechants Co Op Bank ltd Market Yard Branch ahmednagar
6,92,295  6 Lacs+

Ahmednagar Merchants Co Op Bank Ltd Market Yard Branch Ahmednagar
7,03,359  7 Lacs+

Ahmednagar Merchants Co Op Bank Ltd Market Yard Branch Ahmednagar
42,24,664  42 Lacs+","Bank of India Br.Aananddham
708  7 Hund+

Bank Of India Br.Aananddham
7,14,208  7 Lacs+

Bank Of India Br.Aananddham
1,92,836  1 Lacs+

Bank Of India Br.Aananddham
228  2 Hund+

Ahmednagar Merchants Co op Bank Ltd. Market Yard Br ahmednagar
14,88,017  14 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,69,08,489
1 Crore+"
Loans due to Individual / Entity,Nil,"5,86,197  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 5,86,197
5 Lacs+"
Any other Liability,"Rajasaheb Wanies
10,00,000  10 Lacs+

Mr. Arjun Jagtap
15,48,064  15 Lacs+

Mrs. Suvarna Sachin Jagtap
4,25,000  4 Lacs+

Sachin jagtap
25,000  25 Thou+

Mrs. parvati Arun Jagtap
2,00,000  2 Lacs+

M/s. anita Wines
92,60,000  92 Lacs+

Taware Petroleum
15,00,000  15 Lacs+

Mr Kantaram B Govhane
13,00,000  13 Lacs+

Mr. Bhausaheb Gavhane
11,50,000  11 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,64,08,064
1 Crore+"
Grand Total of Liabilities (as per affidavit),"3,09,20,561  3 Crore+","29,82,194  29 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,39,02,755
3 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 3,09,20,556
3 Crore+","Rs 29,82,194
29 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,39,02,750
3 Crore+"
