
i,Loans from Banks / FIs,"Sabaji Panthsansatha
11,75,000  11 Lacs+","Maharastra Loan
6,82,000  6 Lacs+

jalgaon branch pune
30,00,000  30 Lacs+",Nil,Nil,Nil,Nil,"Rs 48,57,000
48 Lacs+"
Loans due to Individual / Entity,"shri kishor
15,00,000  15 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 15,00,000
15 Lacs+"
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"26,75,000  26 Lacs+","36,82,000  36 Lacs+",Nil,Nil,Nil,Nil,"Rs 63,57,000
63 Lacs+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 26,75,000
26 Lacs+","Rs 36,82,000
36 Lacs+",Nil,Nil,Nil,Nil,"Rs 63,57,000
63 Lacs+"
