0,1,2,3,4,5,6,7,8
i,Cash,"1,11,678  1 Lacs+","4,03,384  4 Lacs+","26,966  26 Thou+",Nil,Nil,Nil,"Rs 5,42,028
5 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Anexure Not Attached
76,65,259  76 Lacs+","Annexure not attached
3,13,39,657  3 Crore+","Annexure not attached
3,37,549  3 Lacs+",Nil,Nil,Nil,"Rs 3,93,42,465
3 Crore+"
iii,"Bonds, Debentures and Shares in companies","31,44,500  31 Lacs+","12,93,860  12 Lacs+","5,00,000  5 Lacs+",Nil,Nil,Nil,"Rs 49,38,360
49 Lacs+"
iv,"(a)
NSS, Postal Savings etc","49,22,062  49 Lacs+","49,95,869  49 Lacs+",Nil,Nil,Nil,Nil,"Rs 99,17,931
99 Lacs+"
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,"29,00,000  29 Lacs+","10,74,73,731  10 Crore+","15,07,506  15 Lacs+",Nil,Nil,Nil,"Rs 11,18,81,237
11 Crore+"
vi,"Motor Vehicles (details of make, etc.)","Tractor
7,30,000  7 Lacs+

Tractor
4,09,857  4 Lacs+

Trailor
1,20,000  1 Lacs+

Trailor
1,20,000  1 Lacs+

Trailor MH42AH0866
1,20,000  1 Lacs+

Trailor MH42BB5020
1,20,000  1 Lacs+

Honda Aquard
6,75,000  6 Lacs+

Honda CRV
26,77,010  26 Lacs+

Toyota Crambe
37,65,092  37 Lacs+","Tractor
6,30,000  6 Lacs+

Trailor MH42AX0154
1,60,000  1 Lacs+

Innova
20,77,930  20 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,16,04,889
1 Crore+"
vii,Jewellery (give details weight value),"8,30,210  8 Lacs+

5,60,000  5 Lacs+","14,30,000  14 Lacs+

33,20,000  33 Lacs+

14,06,144  14 Lacs+",Nil,Nil,Nil,Nil,"Rs 75,46,354
75 Lacs+"
viii,"Other assets, such as values of claims / interests","20,87,984  20 Lacs+","4,92,42,049  4 Crore+","78,554  78 Thou+",Nil,Nil,Nil,"Rs 5,14,08,587
5 Crore+"
Gross Total Value (as per Affidavit),"3,11,18,652  3 Crore+","20,37,72,724  20 Crore+","24,50,575  24 Lacs+",Nil,Nil,Nil,"Rs 23,73,41,951
23 Crore+",
Totals (Calculated as Sum of Values),"Rs 3,09,58,652
3 Crore+","Rs 20,37,72,624
20 Crore+","Rs 24,50,575
24 Lacs+",Nil,Nil,Nil,"Rs 23,71,81,851
23 Crore+",
