0,1,2,3,4,5,6,7,8
i,Cash,"Cash
2,73,390  2 Lacs+","Cash
39,318  39 Thou+",Nil,Nil,Nil,Nil,"Rs 3,12,708
3 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","State Bank of India Madam Cama Rd Br.
59,56,649  59 Lacs+

IDFC First Bank Khar (w)
25,168  25 Thou+

Saraswat Co-op Bank Vile Parle Br.
12,36,645  12 Lacs+

Janta Sahakari Bank Vile Parle
53,359  53 Thou+

Jankalyan Sahakari Bank Khar Br.
19,62,989  19 Lacs+

ICICI Bank Bandra West Br.
518  5 Hund+","Abhyudaya Co-op Bank Ltd Bandra Branch
26,41,858  26 Lacs+

Central Bank Andheri Branch
2,91,637  2 Lacs+

ICICI Bank Bandra Branch
1,23,60,966  1 Crore+

Jankalyan Sahakari Bank Khar (W) Branch
51,636  51 Thou+

Central Bank Andheri Branch
1,71,150  1 Lacs+","1,72,051  1 Lacs+","Sahakari Bank Khar Branch
52,150  52 Thou+",Nil,Nil,"Rs 2,49,76,776
2 Crore+"
iii,"Bonds, Debentures and Shares in companies","Birla Sunlife
7,70,315  7 Lacs+

BNS Parbaus Euity
28,11,408  28 Lacs+

DSP Black Rock
5,00,096  5 Lacs+

Franklin Tempolten
39,51,035  39 Lacs+

HDFC Equity
28,31,455  28 Lacs+

ICICI Bond
5,000  5 Thou+

ICICI Prudential
13,64,277  13 Lacs+

IDFC Infra Bond
20,000  20 Thou+

L & T Emerging Business Fund
79,575  79 Thou+

Mirae Asset
83,976  83 Thou+

UTI Mutual Fund
12,38,253  12 Lacs+

Reliance Equity Opportunity Fund
13,57,496  13 Lacs+

S.L.Pvt Ltd
33,330  33 Thou+

Jankalyan Sahakari Bank
45,279  45 Thou+","AXIS-MIDCAP FUND (G)
7,84,936  7 Lacs+

Birla Sunlife Frontline Equity
8,09,170  8 Lacs+

BNP Paribas- Mid Cap Fund (G)
6,11,439  6 Lacs+

Franklin India Bluechip Fund
7,26,159  7 Lacs+

Franklin India Prima Fund (G)
4,09,014  4 Lacs+

HDFC Euity Fund
8,28,713  8 Lacs+

ICICI Bluechip Fund
8,42,387  8 Lacs+

IDFC Infra Bond
20,000  20 Thou+

Mirae-Asset Emerging Bluechip Fund Reg
84,211  84 Thou+

Other Mf
0*(Value Not Given)  

Prudential Mutual Fund
0*(Value Not Given)  

Reliance Euity Opurtunity Fund
0*(Value Not Given)  

Reliance-Multi Cap Fund (G)
8,11,528  8 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,10,19,052
2 Crore+"
iv,"(a)
NSS, Postal Savings etc","PPF Account
4,48,892  4 Lacs+","PPF 4992 (Bandra West)
4,16,412  4 Lacs+",Nil,Nil,Nil,Nil,"Rs 8,65,304
8 Lacs+"
"(b)
LIC or other insurance Policies","Jeevan Chaya 904407553
1,13,711  1 Lacs+

Jeevan Chaya 904407554
1,13,711  1 Lacs+

Bima Kiran 904407555
8,954  8 Thou+

881228410 Ltd. Payment. End
93,535  93 Thou+

88124072 Ltd. Payment. End
3,31,441  3 Lacs+

Jeevan Shree 1 902758502
3,68,097  3 Lacs+

Marriage/Educational 902758503
2,38,197  2 Lacs+","LIC 902759508 Jeevan Shree I
4,96,889  4 Lacs+",Nil,"lic policies
62,272  62 Thou+

TATA AIA
0*(Value Not Given)",Nil,Nil,"Rs 18,26,807
18 Lacs+",
v,Personal loans/advance given,"Shirke Infrastructure
13,510  13 Thou+

Rajest Arte
4,00,000  4 Lacs+

Pratima Shelar
67,01,000  67 Lacs+

Sitaram Dalive
25,00,000  25 Lacs+

S L Pvt Ltd
25,00,000  25 Lacs+","Ashish Shelar Huf
1,52,500  1 Lacs+

Rajesh Atre
24,25,000  24 Lacs+","Ashish Shelar
57,000  57 Thou+",Nil,Nil,Nil,"Rs 1,47,49,010
1 Crore+"
vi,"Motor Vehicles (details of make, etc.)","Toyota Innova Cresia MH-02-EE-4242 26/05/2016
15,16,508  15 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 15,16,508
15 Lacs+"
vii,Jewellery (give details weight value),"Gold 40 Gm
1,44,000  1 Lacs+","Gold 100 gm
3,60,000  3 Lacs+",Nil,Nil,Nil,Nil,"Rs 5,04,000
5 Lacs+"
viii,"Other assets, such as values of claims / interests","Nirnal Bang
10,63,406  10 Lacs+","Nirnal Bang
11,37,983  11 Lacs+

Capital with SP Corporation
1,14,82,979  1 Crore+",Nil,Nil,Nil,Nil,"Rs 1,36,84,368
1 Crore+"
Gross Total Value (as per Affidavit),"4,11,55,175  4 Crore+","3,79,55,885  3 Crore+","2,29,051  2 Lacs+","1,14,422  1 Lacs+",Nil,Nil,"Rs 7,94,54,533
7 Crore+",
Totals (Calculated as Sum of Values),"Rs 4,11,55,175
4 Crore+","Rs 3,79,55,885
3 Crore+","Rs 2,29,051
2 Lacs+","Rs 1,14,422
1 Lacs+",Nil,Nil,"Rs 7,94,54,533
7 Crore+",
