0,1,2,3,4,5,6,7,8
i,Cash,"50,000  50 Thou+","30,000  30 Thou+",Nil,"7,000  7 Thou+","5,000  5 Thou+",Nil,"Rs 92,000
92 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI
3,35,536  3 Lacs+

BOM
45,040  45 Thou+

B N N Amravati
14,92,081  14 Lacs+

B N N Nagpur
1,33,442  1 Lacs+","Axis Bank
11,088  11 Thou+

BOM
0",Nil,"Axis Bank
11,524  11 Thou+

SBI
0",Nil,Nil,"Rs 20,28,711
20 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Birasmunda Adivasi
20,000  20 Thou+","Birasmunda Adivasi
20,000  20 Thou+",Nil,Nil,Nil,Nil,"Rs 40,000
40 Thou+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC No. 824086819
4,99,681  4 Lacs+

LIC No. 824088127
1,44,840  1 Lacs+

LIC No. 821978743
43,917  43 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 6,88,438
6 Lacs+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Tavera MH45/A-7181
7,00,000  7 Lacs+

Innova MH29/AR-7181
22,00,000  22 Lacs+",Nil,Nil,"Wespa 2 Wheeler MH29/AS3750
60,000  60 Thou+",Nil,Nil,"Rs 29,60,000
29 Lacs+"
vii,Jewellery (give details weight value),Nil,"10 Tola Gold
4,00,000  4 Lacs+",Nil,Nil,Nil,Nil,"Rs 4,00,000
4 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,"Tejaswini Petroleum
1,68,924  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,68,924
1 Lacs+"
Gross Total Value (as per Affidavit),"56,64,537  56 Lacs+","6,30,012  6 Lacs+",Nil,"78,524  78 Thou+","5,000  5 Thou+",Nil,"Rs 63,78,073
63 Lacs+",
Totals (Calculated as Sum of Values),"Rs 56,64,537
56 Lacs+","Rs 6,30,012
6 Lacs+",Nil,"Rs 78,524
78 Thou+","Rs 5,000
5 Thou+",Nil,"Rs 63,78,073
63 Lacs+",
