0,1,2,3,4,5,6,7,8
i,Cash,"50,000  50 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 50,000
50 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Two Wheeler MH-27 AT 5931 14/05/2012
55,000  55 Thou+

MH27 AW 0028 16/06/2013.
72,000  72 Thou+",Nil,"Two Wheeler MH27 BN 8692 04/04/2016
52,000  52 Thou+",Nil,Nil,Nil,"Rs 1,79,000
1 Lacs+"
vii,Jewellery (give details weight value),Nil,Nil,Nil,Nil,Nil,Nil,Nil
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),0,Nil,0,Nil,Nil,Nil,Rs 0,
Totals (Calculated as Sum of Values),"Rs 1,77,000
1 Lacs+",Nil,"Rs 52,000
52 Thou+",Nil,Nil,Nil,"Rs 2,29,000
2 Lacs+",
