0,1,2,3,4,5,6,7,8
i,Cash,"1,70,500  1 Lacs+","4,60,700  4 Lacs+","1,50,000  1 Lacs+",Nil,Nil,Nil,"Rs 7,81,200
7 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Shivajirao Bhosale Bank Ltd
55  

Shivajirao Bhosale Bank Ltd
0  

Vaidhnath Urban Co Op Bank
699  6 Hund+

Union Bank Of India
111  1 Hund+

Union Bank Of India
2,184  2 Thou+

State Bank Of India
10,636  10 Thou+

State Bank Of India
12,292  12 Thou+

State Bank Of India
0  

Vaidhnath Urban Co Op Bank
45,726  45 Thou+

HDFC Bank Ltd
5,839  5 Thou+

ICICI Bank
13,452  13 Thou+

HDFC Bank
5,82,677  5 Lacs+

State Bank Of India
2,03,278  2 Lacs+

Beed DCC Bank
59,607  59 Thou+

State Bank Of India
2,02,298  2 Lacs+

Bank Of Maharashtra
19,939  19 Thou+

State Bank Of India
0  

Rajashri Shahu Gramin Bank
693  6 Hund+

State Bank Of India
27,00,000  27 Lacs+","State Bank Of India
29,284  29 Thou+

HDFC Bank
1,20,076  1 Lacs+

Vaidhnath Co Op Bank
20,772  20 Thou+

Vaidhnath Co Op Bank
0  

State Bank Of India
3,319  3 Thou+

Beed DCC Bank
1,04,241  1 Lacs+

State Bank Of India
4,687  4 Thou+

HDFC Bank
5,65,859  5 Lacs+

State Bank Of India
50,000  50 Thou+",Nil,Nil,Nil,Nil,"Rs 47,57,724
47 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Vaidhnath Sugar Factory
10,000  10 Thou+

Jagmitra Sutgirni
50,000  50 Thou+

Vaidhnath Co Op Bank Ltd
5,00,000  5 Lacs+

Panngeshwar Sugar Mills
1,00,000  1 Lacs+

Dindayal Nagari Bank
500  5 Hund+

Vyankatesh Ind. Pvt Ltd
2,12,500  2 Lacs+

Nathra Seva Society
6,060  6 Thou+

Jagmitra Sugar Mills
99,20,000  99 Lacs+

Shivajirao Bhosale Bank
4,37,800  4 Lacs+

Dwarkadas Nagari Bank
1,75,000  1 Lacs+

Jagmitra Sugar Mills
82,67,516  82 Lacs+","Vaidhnath Sugar Factory
10,000  10 Thou+

Jagmitra Sutgirni
50,000  50 Thou+

Vyankatesh Ind. Pvt Ltd
1,00,000  1 Lacs+

Nathra Seva Society
3,100  3 Thou+

Jagmitra Sugar Mills
6,50,000  6 Lacs+

Jagmitra Sugar Mills
1,51,89,000  1 Crore+",Nil,Nil,Nil,Nil,"Rs 3,56,81,476
3 Crore+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC
3,31,704  3 Lacs+

LIC
3,31,704  3 Lacs+

LIC
1,03,083  1 Lacs+

LIC
15,05,720  15 Lacs+

HDFC
50,000  50 Thou+

ICICI
2,50,000  2 Lacs+

PNB Met Life
2,50,000  2 Lacs+

Bajaj Allianz
11,99,000  11 Lacs+

2,50,000  2 Lacs+","PNB Met Life
2,50,000  2 Lacs+

HDFC
24,500  24 Thou+

LIC
2,06,166  2 Lacs+

HDFC
1,00,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 48,51,877
48 Lacs+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Tata Co. Tubro Truck
12,50,000  12 Lacs+

Tata Tubro Truck
12,50,000  12 Lacs+

Toyota Co. Innova Car
13,55,955  13 Lacs+

Ford Endeavour Car
33,11,300  33 Lacs+

Royal Enfield 2 Wheeler
1,60,410  1 Lacs+","Tata Motors Hexza Car
17,87,257  17 Lacs+",Nil,Nil,Nil,Nil,"Rs 91,14,922
91 Lacs+"
vii,Jewellery (give details weight value),"Gold 190 Gram
7,03,000  7 Lacs+","620 Gram
22,90,000  22 Lacs+

1.5 Kg
72,000  72 Thou+",Nil,Nil,Nil,Nil,"Rs 30,65,000
30 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"3,65,61,244  3 Crore+","2,20,90,964  2 Crore+","1,50,000  1 Lacs+",Nil,Nil,Nil,"Rs 5,88,02,208
5 Crore+",
Totals (Calculated as Sum of Values),"Rs 3,60,11,238
3 Crore+","Rs 2,20,90,961
2 Crore+","Rs 1,50,000
1 Lacs+",Nil,Nil,Nil,"Rs 5,82,52,199
5 Crore+",
