0,1,2,3,4,5,6,7,8
i,Cash,"Cash In Hand
2,00,000  2 Lacs+","Cash In Hand
1,80,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,80,000
3 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Mumbai Jilha Madhyavarti Sahakari Bank Matunga
1,53,798  1 Lacs+

SBI Bank Aurangabad Branch No 1716
45,164  45 Thou+

SBI Bank Aurangabad Branch No 1716
54,991  54 Thou+

Central Bank Of India Aurangabad Paithangate
60,921  60 Thou+

Central Bank Of India Aurangabad Paithangate
58,378  58 Thou+

Central Bank Of India Aurangabad Paithangate
48,137  48 Thou+

Central Bank Of India Aurangabad Paithangate
65,101  65 Thou+

Karnataka Bank Aurangabad
47,943  47 Thou+

Karnataka Bank Aurangabad
38,403  38 Thou+

National Saving Certificat GPO Main Branch
50,17,000  50 Lacs+

Mumbai Jilha Madhyavarti Sahakari Bank Matunga
2,701  2 Thou+

SBI Bank Aurangabad
5,234  5 Thou+

Mumbai Jilha Madhyavarti Sahakari Bank Fort Mumbai
5,23,841  5 Lacs+

SBI Bank Vidhanbhavan
1,32,752  1 Lacs+

Dena Bank Manish Nagar
12,50,000  12 Lacs+

Dena Bank manish Nagar joint Ac
22,44,580  22 Lacs+","Axis Bank Seven Bangalow
5,03,406  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,02,52,350
1 Crore+"
iii,"Bonds, Debentures and Shares in companies",Nil,"Aditya Birla Capital 642 Units
57,234  57 Thou+

Axis Bank Ltd 89 Units
59,073  59 Thou+

Bata India Ltd 91 Units
1,40,271  1 Lacs+

Blue Star Ltd 104 Units
74,963  74 Thou+

Choula Mandal Investment And Fainance Ltd 325 Units
87,376.25  87 Thou+

Exide Industris Ltd 432 Units
95,068.20  95 Thou+

ICICI Bank Ltd 66 Units
27,086.40  27 Thou+

IDFC First Bank Ltd 710 Units
30,859.50  30 Thou+

Inox Lesure Ltd 221 Units
62,156.25  62 Thou+

Jubliyant Food Works Ltd 50 Units
59,435  59 Thou+

Kee Industris Ltd 43 Units
20,231.50  20 Thou+

Mahindra And Mahindra Fainance Ltd 248 Units
79,372.40  79 Thou+

Mahindra And Mahindra Ltd 52 Units
27,502.80  27 Thou+

Maruti Suzuki India Ltd 13 Units
79,580.80  79 Thou+

Parag Mills Foods Ltd 267 Units
37,420.05  37 Thou+

Praxiz 9 Units
548.55  5 Hund+

RBL Bank Ltd 160 Units
52,392  52 Thou+

Reliance ETAF Lquid Beez 225 Units
2,25,002  2 Lacs+

Safari Industris India Ltd 47 Units
26,322.35  26 Thou+

Shri Ram Transport Fanance Ltd 43 Units
41,546  41 Thou+

Suprim Industris Ltd 83 Units
91,760.65  91 Thou+

VIP Industries Ltd 192 Units
83,769.60  83 Thou+

Yes Bank Ltd 234 Units
13,923  13 Thou+",Nil,Nil,Nil,Nil,"Rs 14,72,894.30
14 Lacs+"
iv,"(a)
NSS, Postal Savings etc","Post Office GPO Main Branch
1,41,94,424  1 Crore+

Barsa Hakane
692  6 Hund+",Nil,Nil,Nil,Nil,Nil,"Rs 1,41,95,116
1 Crore+"
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
vii,Jewellery (give details weight value),"Gold 630 Gm
24,59,205  24 Lacs+

Silver 1.85 Kg
92,638  92 Thou+","Gold 150 Gm
5,85,525  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 31,37,368
31 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"2,66,95,993  2 Crore+","27,41,818  27 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,94,37,811
2 Crore+",
Totals (Calculated as Sum of Values),"Rs 2,66,95,903
2 Crore+","Rs 27,41,825.30
27 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,94,37,728.30
2 Crore+",
