0,1,2,3,4,5,6,7,8
i,Cash,"3,50,000  3 Lacs+","2,50,000  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 6,00,000
6 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","The Abhinav Sahakari Bank Ltd
918  9 Hund+

Axis Bank
2,02,922  2 Lacs+

SBI Nariman Point
4,00,267  4 Lacs+

The Thane District Central Co Op Bank Ltd
20,496  20 Thou+

The Abhinav Sahkari Bank Ltd
325  3 Hund+

The Abhinav Sahkari Bank Ltd
2,40,000  2 Lacs+

Tisai Nagri Sahkari Pathpedi Ltd FD
3,500  3 Thou+

40825 EURO Bank Of India (as per affidavit Date)
31,82,717  31 Lacs+","The Abhinav Sahakari Bank Ltd
458  4 Hund+

Axis Bank
2,56,942  2 Lacs+

Tisai Nagri Sahkari Pathpedi Ltd
9,100  9 Thou+

The Saraswat Co Op Bank
18,47,243  18 Lacs+

The Hindustan Co Op Bank
5,64,494  5 Lacs+

Post Office Saving
7,89,000  7 Lacs+

The Abhinav Sahkari Bank Ltd
15,94,114  15 Lacs+

HDFC Bank
53,934  53 Thou+

Navjeevan Co Op Bank Ltd
7,886  7 Thou+

The Abhinav Sahkari Bank Ltd
30,720  30 Thou+

The Abhinav Sahkari Bank Ltd
4,27,751  4 Lacs+

Axis Bank
7,09,740  7 Lacs+

Saraswat Co Op Bank
7,46,403  7 Lacs+",Nil,"The Abhinav Sahkari Bank Ltd
1,870  1 Thou+

Axis Bank
5,67,923  5 Lacs+

Tisai Nagri Sahkari Pathpedi Ltd
9,100  9 Thou+

Axis Bank
1,29,645  1 Lacs+",Nil,Nil,"Rs 1,17,97,468
1 Crore+"
iii,"Bonds, Debentures and Shares in companies","Darpita Trading Co Pvt Ltd
13,06,670  13 Lacs+

Wire & Wireless Tisai Satellite
1,22,500  1 Lacs+

Shree Tisai Parivar Enterprise
25,000  25 Thou+

Shree Tisai Health Care
40,000  40 Thou+

Dhruv Computer Cable Network
33,000  33 Thou+

The Abhinav Sahkari Bank
2,26,250  2 Lacs+

The CKP Co Operative Bank lTd
2,60,000  2 Lacs+

Tisai Nagri Sahkari Bank
2,500  2 Thou+

The CKP Co Operative Bank lTd Jarmari setelite 10000 *25svc.
2,50,000  2 Lacs+","Shree Tisai Cable Services
1,00,000  1 Lacs+

Wire & Wireless Tisai
1,22,500  1 Lacs+

Shree Tisai Technologies
50,000  50 Thou+

The Abhinav Sahkari Bank
1,50,000  1 Lacs+

The CKP Co Operative Bank lTd
2,60,000  2 Lacs+

The CKP Co Operative Bank lTd
2,50,000  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 31,98,420
31 Lacs+"
iv,"(a)
NSS, Postal Savings etc","NSC
46,53,800  46 Lacs+","NSC
23,200  23 Thou+",Nil,Nil,Nil,Nil,"Rs 46,77,000
46 Lacs+"
"(b)
LIC or other insurance Policies","LIC
45,75,000  45 Lacs+","LIC
50,00,000  50 Lacs+

ICICI
1,00,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 96,75,000
96 Lacs+",
v,Personal loans/advance given,"Mr Vinod Lase
67,373  67 Thou+

Sundry Debtors
13,95,000  13 Lacs+

Anna Pandu Tahkre
2,00,000  2 Lacs+

Balaji Sukumar
4,50,000  4 Lacs+

Bharti Murti
5,00,000  5 Lacs+

Dattatrai Atmaram Patil
2,50,000  2 Lacs+

Jarimari Shakti Construction
2,00,000  2 Lacs+

Kanchan Bhagwan Thakre Chaure
50,000  50 Thou+

Murlidhar G Pawar
1,00,000  1 Lacs+

Pramila Ravindra Shankhpal
2,00,000  2 Lacs+

Shivaji Bal Thakre
1,72,000  1 Lacs+

Shree Tisai Developers
43,40,000  43 Lacs+

Shree Tisai Farm
47,75,417  47 Lacs+

Shrijee Associates
5,00,000  5 Lacs+

Tata Capital Ltd
26,660  26 Thou+

Office Deposit Lokgram Umadevi Rambilas
56,000  56 Thou+

Office Deposit Sageeruddin Shaikh Thane Majiwada
50,000  50 Thou+

Jar Deposit (Renuka Agency) Bisleri Jar
150  1 Hund+

Matka deposit Renuka Agency Bisleri water
200  2 Hund+

Office Deposit Durgawati Tripati
50,000  50 Thou+

Office Deposit Lok Gram Deepak Mhaske
50,000  50 Thou+

TMC Club House Deposit -B Narayan, Ganesh Anand Dinesh Ghone
9,00,000  9 Lacs+

1,40,38,744  1 Crore+","Arvind Ghumre
1,00,000  1 Lacs+

Deposits
1,19,83,268  1 Crore+

Sundry Debtors
65,93,980  65 Lacs+

Abhimanyu Gaikwad
25,000  25 Thou+

Suresh Kathavale
30,00,000  30 Lacs+

Ganpat Gaikwad
1,72,30,782  1 Crore+

Haji Malang Road
2,10,000  2 Lacs+

Haribhau Mhatre
2,00,000  2 Lacs+

Platinum Membership
1,00,000  1 Lacs+

Prakash Nivruti Pawar
1,50,000  1 Lacs+

Reliance Capital Ltd
2,018  2 Thou+

Satraj Ramteke
1,00,000  1 Lacs+

Suman Shinde
1,00,000  1 Lacs+

TDS Refundable
8,264  8 Thou+

Vijay Ukhardu Jogi
2,00,000  2 Lacs+

Wire & Wireless Tisai Satellite
6,00,000  6 Lacs+

Aakash Tiles Pvt Ltd
25,78,655  25 Lacs+

Bearing Distributors
15,00,000  15 Lacs+

Jay Enterprise
5,00,000  5 Lacs+

Pranav Ganpat Gaikwad
2,00,000  2 Lacs+

Shree Jarimari Satellite Service Loan
43,50,031  43 Lacs+

Shreeji Ass.
9,00,000  9 Lacs+

Shree Tisai Developers Partnership
7,00,000  7 Lacs+

Shree Tisai Farm
16,41,878  16 Lacs+

Tisai Dairy Farm Pvt Ltd
5,000  5 Thou+

Vaibhav G Gaikwad
50,00,000  50 Lacs+

Vilas Narayan Bhior
25,00,000  25 Lacs+

Vinod Vithal Lase
5,00,000  5 Lacs+

Namita Apt Flat No. 101 & 102
41,490  41 Thou+

Namita Apt Flat No. 1,2,3,4
93,600  93 Thou+",Nil,Nil,Nil,Nil,"Rs 8,94,85,510
8 Crore+"
vi,"Motor Vehicles (details of make, etc.)","Mercedes Benz/ GLA/200 CDI Sport MH14FG4875
30,14,450  30 Lacs+

Mahindra - 605 Arjun Tractor MH05F9324
5,56,225  5 Lacs+

Jeet Auto Industries Tractor MH05S4665
87,400  87 Thou+

Mistubishi Tractor & Trolly Escort Ltd
2,25,000  2 Lacs+","Mercedes Nebz/GLA/350 MH05CB25
84,32,429  84 Lacs+

Mahindr- Bolero Maxi Truck Shree Tisai Farm
5,29,078  5 Lacs+

Audi TT Coupe 45 Shree Tisai Farm
63,30,000  63 Lacs+

Tata 404
8,44,734  8 Lacs+

Piaggio Vespa Motor Cycle Without Gear
60,000  60 Thou+

Honda Dio DLX Motor Cycyle Without Gear
50,000  50 Thou+

Hyundai-j10 ERA
3,42,900  3 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,04,72,216
2 Crore+"
vii,Jewellery (give details weight value),"Gold 328.75 Gram
12,16,375  12 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 12,16,375
12 Lacs+"
viii,"Other assets, such as values of claims / interests","Shree Jarimari Satellite Service
2,82,98,523  2 Crore+

Shree Tisai Developers
17,91,801  17 Lacs+

Shree Jarimari Star Vision 50% -2197075.
0  

Laxmi Construction
10,05,000  10 Lacs+

Vastu Developers
5,60,000  5 Lacs+

Vastushilpi Builders & Developers
2,06,476  2 Lacs+

New Pranav Construction
4,89,538  4 Lacs+

Shree Tisai Farm
13,000  13 Thou+

Pranav Construction 50% -1491163
0  

Kaveri Construction 50% -100000.
0  

Shree Tisai Parivar Enterprise 34% -3452245.
0  

Dhruv Production
14,00,000  14 Lacs+

Siddhivinayak Enterprises
1,00,000  1 Lacs+","Shree Tisai Satellite Service
1,75,72,441  1 Crore+

Shree Tisai Developers Partnership 33.33 % -2371932.00
0  

Shree Tisai Farm
47,59,009  47 Lacs+",Nil,Nil,Nil,Nil,"Rs 5,61,95,788
5 Crore+"
Gross Total Value (as per Affidavit),"6,86,23,826  6 Crore+","11,04,87,443  11 Crore+",Nil,"7,08,539  7 Lacs+",Nil,Nil,"Rs 17,98,19,808
17 Crore+",
Totals (Calculated as Sum of Values),"Rs 8,32,31,197
8 Crore+","Rs 11,33,78,042
11 Crore+",Nil,"Rs 7,08,538
7 Lacs+",Nil,Nil,"Rs 19,73,17,777
19 Crore+",
