0,1,2,3,4,5,6,7,8
i,Cash,"1,82,000  1 Lacs+","37,000  37 Thou+",Nil,Nil,Nil,Nil,"Rs 2,19,000
2 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","State bank of india,Madam kama road ,Mumbai Branch saving account No. 30953463326 date-01-10-2019
2,08,657  2 Lacs+

The akola District madhyavarti co-Op bank,Akola Murtijapur branch Saving Account No.0640712010018326 Date-9-10+-2019
10,966  10 Thou+

bank of maharashtra branch murtijapur Saving account No.60185383958 date-09-10-2019
3,13,921  3 Lacs+

The akola District Madhyavarti Co-Op. Bank,akola Murtijapur Main branch, voting Account Saving Account No.0640712010033205 Date-30-09-2019
2,000  2 Thou+

The Akola Janta commeriscal Co-Op Bank Ltd ,Akola Branch Joint Account Saving Accont No.001103201052446
0*(Value Not Given)  

bank of maharashtra Branch murtijapur FDR.No.60306929381 Date-24-05-2018
50,000  50 Thou+

bank of maharashtra Branch murtijapur FDR.No.60306929347 date-24-05-2018
50,000  50 Thou+

bank of maharashtra Branch murtijapur FDR.No.60306808345 date-20-06-2018
35,000  35 Thou+

bank of maharashtra Branch murtijapur FDR.No.60059497290 date-23-01-2017
32,568  32 Thou+","State bNk of india,Branch murtijapur Joint Account Saving Account No.31715650946 Date-27-09-2019
2,687  2 Thou+

The akola arban co-op. Bank Ltd, Akola branch,Murtijapur Saving Account No. 1008005011020 date-27-09-2019
2,624  2 Thou+

State Bank of india Branch,Murtijapur Saving Account No.31530782073 date-27-09-2019
2,119  2 Thou+

the Akola District madhyavarti Co-Bank ltd ,Akola Branch murtijapur Saving Account No.0640712010027971 Date-27-09-2019
2,127  2 Thou+

Bank of Maharashtra Branch Murtijapur Saving Account No. 68008056165 date-27-09-2019
1,254  1 Thou+

The Akola Janta Commericial Co-Op. Bank Ltd. Akola Branch Joint Account Saving Account No.001103201052446 Date-3-10-2019
8,121  8 Thou+

The Akola District Madhyavariti Co-Op Bank Ltd,akola branch Murtijapur Mahatmafule basveshwar Milk Seller Organization,Palsoda Saving Account No.064071-2000000382 Date-30-09-2019
46,542  46 Thou+

pan card club Ltd Folio No. 1015-01-25049
50,500  50 Thou+",Nil,"Bank of maharashtra Branch Murtijapur FDR No.220637
50,000  50 Thou+

State Bank of india,branch murtijapur JOint Account Saving Account No.31715650946
0*(Value Not Given)","Bank of Maharashtra Branch-Murtijapur Saving Account No.60296888578
0  

FDR Recipt No. 220460
10,000  10 Thou+

FDR Recipt No.220938
10,000  10 Thou+",Nil,"Rs 8,89,086
8 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Indian Sindhu Co-op. Credict Society Ltd ,Akola Folio No. 3412
300  3 Hund+

The Akola arban Co-Op Bank ltd Shares Shares no.132136
2,000  2 Thou+

Akola district Magasvargiya Burud Worker indistrial Co-op organazation,District,Akola Ragister No. AKL/PRDI121/2016-17
1,25,000  1 Lacs+

Seva/V.K.Co-op.Organazation M.Sonala palsoada Ragister No. 1077 shares
20,000  20 Thou+","Akola District Magasvargiya Burud Worker industrial Co-Op.Organazation,Akola District-Akola Ragister No. AKL/PARDI121/2016-17
49,500  49 Thou+

Seva /V.K.Co-op. Organazation M.Sonala Palsoda Ragister No. 1077
16,550  16 Thou+",Nil,Nil,Nil,Nil,"Rs 2,13,350
2 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,"Postal Saving Account No.110577 date-24-12-2014 per year primiam-12000
64,000  64 Thou+",Nil,Nil,Nil,Nil,"Rs 64,000
64 Thou+"
"(b)
LIC or other insurance Policies","Police No.824869485 Starting Date-28-01-2013 Per Year Primiam-18015
1,26,105  1 Lacs+

Policey No.825169096 Starting Date-28-03-2014 Per Year Primiam-20650
1,23,900  1 Lacs+","Lic Policy No.823634868 Starting Date-25-02-2019 Per Year primiam -3002
33,022  33 Thou+

lic Policy No.823634866 Date-25-02-2009 Per Year Primiam-3002
33,022  33 Thou+

SBI Life Insurance No. 1k039465608 Date 12-1-2016 Per Year Primuam 99000
3,96,000  3 Lacs+",Nil,Nil,Nil,Nil,"Rs 7,12,049
7 Lacs+",
v,Personal loans/advance given,"Nutan Harish Pingale Personal loan
4,32,000  4 Lacs+

Shrad D Wankhede Personal loan
2,00,000  2 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 6,32,000
6 Lacs+"
vi,"Motor Vehicles (details of make, etc.)","Mahindra Scorpio MH-30AA1333 Purchase Year-2010
8,25,000  8 Lacs+

Sonalika Tractor MH-30 J9630 Purchase Year-2012
4,50,000  4 Lacs+

Maruti Ciaz Zdi-MH-307337 Purchase Year-2014
11,50,000  11 Lacs+","Honda Activa MH-30AM-2261 Purchase Year 20-06-2014
52,645  52 Thou+

TVS Jupiter zx (Bs iv) MH30 BA4285 Purchase Year -06-09-2017
56,985  56 Thou+",Nil,Nil,Nil,Nil,"Rs 25,34,630
25 Lacs+"
vii,Jewellery (give details weight value),"Gold -72 Gram
2,40,795  2 Lacs+","Gold -165 Gram
4,45,500  4 Lacs+

Silver 100 gram
45,000  45 Thou+",Nil,Nil,Nil,Nil,"Rs 7,31,295
7 Lacs+"
viii,"Other assets, such as values of claims / interests","0.32 NPB Pistol No.190213967(Vepan)
1,04,960  1 Lacs+","Milk Business-16 Animals
1,37,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,41,960
2 Lacs+"
Gross Total Value (as per Affidavit),"46,85,172  46 Lacs+","14,82,198  14 Lacs+",Nil,"50,000  50 Thou+","65,000  65 Thou+",Nil,"Rs 62,82,370
62 Lacs+",
Totals (Calculated as Sum of Values),"Rs 46,85,172
46 Lacs+","Rs 14,82,198
14 Lacs+",Nil,"Rs 50,000
50 Thou+","Rs 20,000
20 Thou+",Nil,"Rs 62,37,370
62 Lacs+",
