0,1,2,3,4,5,6,7,8
i,Cash,"15,46,500  15 Lacs+","2,64,600  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 18,11,100
18 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Abhijitdada kadam Nagari Co-Op. Bank,Pune,Poud Road,pune Account No.00738
5,858.86  5 Thou+

Bank of baroda,bhandarkar road Branch,pune Account No.98110100007034
67,455.78  67 Thou+

Bank of Maharashtra (P.P.F.),Pound Fata,pune Account No.20003285777
30,16,422  30 Lacs+

Bharati Co-op. Bank Ltd,Main branch,Pune Account No.200203130003964
42,30,955.43  42 Lacs+

Bharati Co-Op. Bank Ltd,Main branch,pune Account No.200204180103374
8,177  8 Thou+

Bhrati Co-Op. Bank Ltd,Ambak account no.201303130015294
82,920  82 Thou+

H.D.F.C. Bank,Pune Account No.50100019276179
1,26,664  1 Lacs+

IDBI Bank Ltd,Fargusan college road,pune Account No.7104000225816
75,867.22  75 Thou+

Mansing Co-Op. Bank ltd,Sangali Account No.2595
996  9 Hund+

Pune District Madhyavarti Co.op. Bank,Dekkan Pune Account No.004001700002618
2,95,285  2 Lacs+

Pune District Madhyavarti Co.op. Bank,Yavat Account No.055001700009825
7,377.43  7 Thou+

Pnjab national bank,Dekkan pune Account no.1394000100028558
11,678.64  11 Thou+

Sangali District Madhyavarti Co-Op. Bank,Sangali Account No.18105110000152
1,88,162.80  1 Lacs+

State Bank of India,Sangali Account No.11230305384
99,349.11  99 Thou+

Bhrati Co-Op. Bank Ltd,Kadegaon account No.200704180026631
24,400  24 Thou+

Bhrati Co-Op.Bank Ltd Bhawan,pune Account No.200203030000002
1,176  1 Thou+

Term Deposits- Rukmini Co-Op. Bank,Ltd ,Pandharpur Recipt No.22332 Date-19-12-2014
5,03,978  5 Lacs+

Sonhira co-op.Sugar Factory Ltd Recipt No.222 date-02-08-2016
75,802  75 Thou+

Other Fix Deposits
5,42,510  5 Lacs+

Bhrati Co-Op. Bank Ltd, Pune Branch-Abhijay kadam Recipt NO.112778 date-02-07-2019
5,86,134  5 Lacs+

Bhrati Co-Op. bank Ltd ,Pune branch -Avir kadam Recipt NO.110098 date-04-03-2019
3,55,622  3 Lacs+

Bhrati Co-Op. bank Ltd ,Pune branch -Avir kadam Recipt NO.110100 date-04-03-2019
3,56,913  3 Lacs+

Bank of baroda,Branch Bhandarkar road,Pune-Abhijay Kadam Recipt NO.1944977 date-14-01-2019
15,00,000  15 Lacs+

Bank of baroda,Branch Bhandarkar road,Pune-Avir Kadam Recipt NO.1944978 date-14-01-2019
15,00,000  15 Lacs+

Aqured Interest
1,25,450  1 Lacs+","Saving Account-Bank of india,F.C.Road,Pune Account No.51420100007270
4,11,631.16  4 Lacs+

Saving Account-Bank of india,F.C.Road,Pune Account No.51410100011322
50,727.22  50 Thou+

Saving Account-Bank of india,F.C.Road,Pune Account No.05142011000058657
5,87,065.75  5 Lacs+

Saving Account-Bank of india,F.C.Road,Pune Account No.051420110015394
78,954.38  78 Thou+

Saving Account-Bank of india,F.C.Road,Pune (p.p.f.balance) Account No.617
71,13,031  71 Lacs+

H.D.F.C. Bank Ltd,Pimpari Account No.04371930006595
10,063.87  10 Thou+

Bhrati Co-Op. Bank Ltd,Main branch Bhawan,pune Account No.200203130103564
4,838  4 Thou+

Sangali Co-Op.Madhyavarti Bank Ltd,Sonsal,Sangali Account No.18105110003425
5,972  5 Thou+

Term Deposits- Bank of india, branch ,Fd. Road,pune Acquirate INterest Receipt No.51445100003396
89,91,898.50  89 Lacs+

H.D.F.C.Bank,Branch Shivajinagar,Pune Receipt NO.P.N/276521550
5,00,00,000  5 Crore+

H.D.F.C.Bank,Branch Shivajinagar,Pune Receipt NO.P.N/2765239
5,00,00,000  5 Crore+

H.D.F.C.Bank,Branch Shivajinagar,Pune Receipt NO.P.N/2765349
5,00,00,000  5 Crore+

H.D.F.C.Bank,Branch Shivajinagar,Pune Receipt NO.P.N/2765291
5,00,00,000  5 Crore+

Saraswat Bank, Branch S.M.E.,Pune Receipt No.L.T.S.D.5/11/1
5,00,00,000  5 Crore+

Bhrati Co-Op. Bank Ltd,Pune Branch -Avir Kadam Receipt No.111439
6,03,283  6 Lacs+

Accured Interest
76,08,671  76 Lacs+",Nil,Nil,Nil,Nil,"Rs 28,92,55,290.15
28 Crore+"
iii,"Bonds, Debentures and Shares in companies","U.T.I Msters Shares Rate-32.27 share-3600
1,16,172  1 Lacs+

Sujhlab Anarji Ltd Rate-3.70 shares-160
592  5 Hund+

Reliance Industries Ltd Rate-1248.55 shares-28
34,959.40  34 Thou+

DLF Ltd rate-968.15 shares-180
30,267  30 Thou+

Reliance Power Ltd Rate-3.25 shares-27
87.75  

D.B.Reliti Rete-6.05 shares-196
1,185.80  1 Thou+

asmita International and infra Pvt.Ltd Rate-10.00 shares-246000
24,60,000  24 Lacs+

Vishvaj Energy Pvt Ltd. Rate-10.00 shares-125500
62,00,000  62 Lacs+

Pune Bilale Foundation Rate-10.00 shares-1675
16,750  16 Thou+

Other shares
3,50,900  3 Lacs+

shivshailyam Vruksh Lagwad Land Share
11,71,341.54  11 Lacs+

Bhrati Co-op.bank Ltd Rate 50.00 shares-710
35,500  35 Thou+

Bhrati Madhyavarti Co-Op. Grahak Bhandar Ltd Rate-100.00 shares-200
20,000  20 Thou+

Sonhira Co-Op. Sugar Factory Ltd Rate-2000.00 share-45
90,000  90 Thou+

Sagreshwar Co-Op.Cloth Factory Ltd Rate-2000.00 shares-45
90,000  90 Thou+

Abhijitdada Nagari Co-op. bank ltd Rate-100 shares-55
5,500  5 Thou+

Shree Dhammadevi Shugar And power Ltd Rate-10.00 shares-106060
10,60,600  10 Lacs+

bajirao Appa co-Op. Bank Ltd Rate-25.00 Shares-400
10,000  10 Thou+

Rajgad Co-Op. Sugar Factory Ltd Rate-3000.00 shares-01
3,000  3 Thou+

Rukmini Nagari Co-Op. bank ltd Rate-24.00 shares-25
600  6 Hund+

Udgiri Co-OP. Sugar Factory Ltd Rate-10.00 shares-2790000
2,79,00,000  2 Crore+

shripati Sugar And power Ltd Rate-10.00 shares-100802
10,08,020  10 Lacs+

Patil Sugar Factory Ltd Rate -10.00 shares-30000
3,00,000  3 Lacs+

Krushan Verala Co-Op. Cloth Factory Ltd rate-2000.00 shares-25
50,000  50 Thou+

Shree Basveshwar Sugars Ltd Rate-10.00 shares-628.125
62,81,250  62 Lacs+

Shivtirth Dairy and Agro Producer Company Ltd
20,000  20 Thou+","DLF Ltd (Shares) Rate-164.00 shares-3550
5,82,910  5 Lacs+

Indian Similes Stil And ALS Rate-4.00 shares-100
405  4 Hund+

India Petrocamicals Corporation Ltd Rate-483.00 shares-20
9,662  9 Thou+

Priyadarshani Swpning M.L.(S) Rate-5.00 Shares-50
263  2 Hund+

Ras Exstration Ltd (S) Rate-10 shares-100
1,000  1 Thou+

Reliance Capital Ltd. (Reliance Capital Venchars Ltd) Rate-650.00 Shares-5
3,250  3 Thou+

Reliance Communication Ltd. (Reliance comminucation Venhcars Ltd) Rate-30 shares-110
3,250  3 Thou+

Reliance Energy Ltd (Reliance Venchars Ltd rate-464.00 shares-7
3,250  3 Thou+

Reliance Power Ltd(Reliance Natural Resorces Ltd) Rate-120.00 shares-27
32,500  32 Thou+

The Industrial Finance Corporation I.L.S. Rate-100.00 shares-35
3,500  3 Thou+

Solar Energic technic Ltd (Shares) Rate-10.00 shares-50000
5,00,000  5 Lacs+

Gujrat pimpavav port Shares Rate-79.00 Shares-1200
94,860  94 Thou+

Adani Potras And Stek (Shares) Rate-366.00 shares-300
1,09,785  1 Lacs+

Kalptaru Power Tran (Shares) rate-411.00 shares-1000
4,40,650  4 Lacs+

Bajaj Finance Ltd Rate-3299.00 Shares-560
18,47,608  18 Lacs+

Sun Farmastukil Rate-435.00 Shares-356
1,54,735  1 Lacs+

Tata Counsultancy Share Rate-2239.00 shares-175
3,91,869  3 Lacs+

Larson And turbo Shares Rate-1342.00 shares-200
2,68,490  2 Lacs+

Yes Bank Ltd Shares Rate-57.00 shares-1000
57,400  57 Thou+

HDFC Bank Rate-1124.00 shares-150
1,68,563  1 Lacs+

Bhrati Madhyavarti Co-Op. Custemer Bhandar Rate-100.00 shares-200
20,000  20 Thou+

Rupi Co-Op. Bank Ltd Rate-10.00 shares-10000
1,00,000  1 Lacs+

SBC Reality Pvt Ltd rate-100.00 shares-500
50,000  50 Thou+

Apurva Prop And Estate Pvt Ltd Rate-65.00 shares-40
2,600  2 Thou+

Sitanahu Retailers Pvt Ltd Rate-100.00 shares-500
50,000  50 Thou+

Other Shares
3,50,000  3 Lacs+

Mirai Assets India Ekiti Fund
4,20,000  4 Lacs+

MotiLal Aosval MultiCup 35 Fund
4,40,000  4 Lacs+

Franklin India Smoller Companys Fund
4,00,000  4 Lacs+

H.D.F.C. Mildcup Aportunitys Fund
4,20,000  4 Lacs+

Aaditya Birla sun life Equility Fund
4,40,000  4 Lacs+

I.D.F.C. Infra Bonds
20,000  20 Thou+",Nil,Nil,Nil,Nil,"Rs 5,46,43,275.49
5 Crore+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","Life Insurance Corporation Policy No.950304268 Rupies-100000.00 Yearly paid rs-1747.00
55,904  55 Thou+

Life Insurance Corporation Policy No.958869342 rupies-40000000.00 yearly paid-2713880.00
1,63,04,539  1 Crore+

ICICI Produsioal Policy No.21083028 rupies-3890000.00 Yearly Paid-389000.00
3,89,000  3 Lacs+

Life Insurance Corporation Policy No.906776854 rupies-5000000.00 Yearly Paid-18703.00
37,406  37 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 1,67,86,849
1 Crore+",
v,Personal loans/advance given,"7,29,17,226  7 Crore+","98,10,87,119  98 Crore+",Nil,Nil,Nil,Nil,"Rs 1,05,40,04,345
105 Crore+"
vi,"Motor Vehicles (details of make, etc.)",Nil,"Inova -MH12 D.Y.528 Ragister No.23-03-2007 Purchase Year-2007
1,36,018  1 Lacs+

Renj Revhar MH12JF08 Ragister year-11-11-2010 Purchase Year-Sept 2010
38,21,390  38 Lacs+

Marsidij Benj -GLS MH12NX0900 ragister Year-23-04-2017 Purchase Year-June 2017
68,72,754  68 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,08,30,162
1 Crore+"
vii,Jewellery (give details weight value),"Gold-2.16 Kilo
85,88,160  85 Lacs+

Silver-20.100 kg
9,74,850  9 Lacs+

Jadjavahir (168.52 Carret)
92,08,035  92 Lacs+","Gold- 5.1451 Kg
2,04,56,918  2 Crore+

Silver 45 Kilo
21,82,500  21 Lacs+

jadjavahir (906.45 Carret)
6,04,21,250  6 Crore+",Nil,Nil,Nil,Nil,"Rs 10,18,31,713
10 Crore+"
viii,"Other assets, such as values of claims / interests",Nil,"1,92,90,564  1 Crore+",Nil,Nil,Nil,Nil,"Rs 1,92,90,564
1 Crore+"
Gross Total Value (as per Affidavit),"17,12,17,540  17 Crore+","1,37,63,56,556  137 Crore+",Nil,Nil,Nil,Nil,"Rs 1,54,75,74,096
154 Crore+",
