0,1,2,3,4,5,6,7,8
i,Cash,"1,00,000  1 Lacs+","50,000  50 Thou+",Nil,Nil,Nil,Nil,"Rs 1,50,000
1 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI AHMEDNAGAR
1,97,885  1 Lacs+

NAGAR URBAN COOP BANK KUKANA
52,007  52 Thou+

AHMEDNAGAR NAGRI COOP BANK AHMEDNAGAR
13,191  13 Thou+

BOB SHRIRAMPUR
1,000  1 Thou+

AHMEDNAGAR NAGRI COOP BANK FD
3,70,000  3 Lacs+","AHMEDNAGA NAGRI COOP BANK AHMEDNAGAR
13,359  13 Thou+

AHMEDNAGAR NAGRI COOP BANK MANMAD RD
2,57,573  2 Lacs+

ICICI SAVEDI
79,412  79 Thou+

BOM PUNE
30,145  30 Thou+

SBI SAVEDI
2,56,220  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 12,70,792
12 Lacs+"
iii,"Bonds, Debentures and Shares in companies","MENDHIPALAN TR
1,000  1 Thou+

DNYANESHWAR SUGAR FACTORY
5,000  5 Thou+","MENDHIPALAN TR
1,000  1 Thou+",Nil,Nil,Nil,Nil,"Rs 7,000
7 Thou+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,"LIC
79,338  79 Thou+",Nil,Nil,Nil,Nil,"Rs 79,338
79 Thou+",
v,Personal loans/advance given,"CHAITANYA BUILDER
12,50,361  12 Lacs+

LYRICS MECH
70,000  70 Thou+

LYRICS MECH
1,50,000  1 Lacs+

CHAITANYA METAL
31,32,772  31 Lacs+","LYRICS MECH
20,000  20 Thou+

CHAITANYA METALS
14,70,000  14 Lacs+",Nil,Nil,Nil,Nil,"Rs 60,93,133
60 Lacs+"
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
vii,Jewellery (give details weight value),"GOLD 15 TOLA
5,85,450  5 Lacs+

SILVER 1 KG
50,057  50 Thou+","GOLD 56 TOLA
21,85,680  21 Lacs+

SILVER 2 KG
1,00,114  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 29,21,301
29 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"59,78,723  59 Lacs+","45,42,841  45 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,05,21,564
1 Crore+",
Totals (Calculated as Sum of Values),"Rs 59,78,723
59 Lacs+","Rs 45,42,841
45 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,05,21,564
1 Crore+",
