0,1,2,3,4,5,6,7,8
i,Cash,"5,07,600  5 Lacs+","2,68,900  2 Lacs+","1,47,800  1 Lacs+","2,000  2 Thou+",200  2 Hund+,Nil,"Rs 9,26,500
9 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Canara Bank 0201101354043
12,278  12 Thou+

DNSB 010201000023417
4,91,316  4 Lacs+

SBI 31975573074
1,86,021  1 Lacs+

TJSB 5920
43,148  43 Thou+

SBI 8586
1,00,000  1 Lacs+

BOI
0*(Value Not Given)","BOM 60067818524
2,13,418  2 Lacs+

SBI 10844319068
8,534  8 Thou+

TJSB 5919
2,72,377  2 Lacs+","BOM 200797751
11,168  11 Thou+","BOM 1657
107  1 Hund+

Canara Bank 2835120000007
5,380  5 Thou+","BOM Scholarship Minority 60161749130
9,445  9 Thou+",Nil,"Rs 13,53,192
13 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Amco BSE
10,243  10 Thou+

Great Internships
77,511  77 Thou+

IDBI Bank
28,290  28 Thou+

Invest
24,344  24 Thou+

HDFC Bond
1,13,426  1 Lacs+","Invest In Infrastructure
50,000  50 Thou+

Invest In Kinikar Pvt Ltd
1,20,000  1 Lacs+

TJSB
17,750  17 Thou+",Nil,Nil,Nil,Nil,"Rs 4,41,564
4 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC 923056928
5,00,000  5 Lacs+

LIC 923056929
1,00,000  1 Lacs+

LIC 923056925
5,00,000  5 Lacs+","LIC 928073219
5,00,000  5 Lacs+

LIC 924721515
5,89,970  5 Lacs+

LIC 927082830
70,000  70 Thou+",Nil,Nil,"LIC 916483610
10,00,000  10 Lacs+",Nil,"Rs 32,59,970
32 Lacs+",
v,Personal loans/advance given,"Gold Coin Enterprises
6,10,000  6 Lacs+

Silver Coin Enterprises
3,50,000  3 Lacs+

Kinikar Infra Project
56,900  56 Thou+

Mahesh Bhosale
26,00,000  26 Lacs+

Education Loan
50,000  50 Thou+

Home Rent
76,75,669  76 Lacs+

Javasai
10,00,000  10 Lacs+

Others
2,20,000  2 Lacs+

Dr Shilpa
4,87,916  4 Lacs+

Mahesh Kinikar
27,000  27 Thou+

Navin Bansal
10,00,000  10 Lacs+

Trunko Plot Sale
23,98,000  23 Lacs+

Sunil Khare
5,00,000  5 Lacs+

Vishvanath
3,00,000  3 Lacs+

Income Tax
1,50,000  1 Lacs+

Home Loan
13,42,623  13 Lacs+

Mulkar
5,66,919  5 Lacs+

White Gold
31,00,000  31 Lacs+","Ganesh Kinikar
2,03,626  2 Lacs+

Hospital Plot Agrim
22,55,679  22 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,48,94,332
2 Crore+"
vi,"Motor Vehicles (details of make, etc.)","Toyota Fortuner MH05CZ7001
29,75,628  29 Lacs+","Motor Cycle Maruti MH05CV1151
5,93,689  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 35,69,317
35 Lacs+"
vii,Jewellery (give details weight value),"Gold 8 Gram
22,500  22 Thou+","460 Gram Gold
11,33,458  11 Lacs+","56.46 Gram Gold
1,82,150  1 Lacs+","13 Gram Gold
26,000  26 Thou+","7 Gram Gold
21,546  21 Thou+",Nil,"Rs 13,85,654
13 Lacs+"
viii,"Other assets, such as values of claims / interests","AC
4,145  4 Thou+

Xray Machine
8,612  8 Thou+

Equipments
3,19,143  3 Lacs+

CC Camera
16,782  16 Thou+

TV
21,989  21 Thou+

Dental Chair
18,067  18 Thou+

Clinic Furniture
2,11,080  2 Lacs+

Interior
28,649  28 Thou+

Mobile
1,22,300  1 Lacs+

Household Equipment
47,880  47 Thou+

Revolver A0793/04
58,000  58 Thou+","Ceramic Machine
14,452  14 Thou+

Equipment
48,824  48 Thou+

Clinic Dental Chair
41,946  41 Thou+

Mobile
25,000  25 Thou+",Nil,Nil,Nil,Nil,"Rs 9,86,869
9 Lacs+"
Gross Total Value (as per Affidavit),"2,77,26,571  2 Crore+","52,67,653  52 Lacs+","3,41,118  3 Lacs+","33,487  33 Thou+","31,191  31 Thou+",Nil,"Rs 3,34,00,020
3 Crore+",
Totals (Calculated as Sum of Values),"Rs 2,89,83,979
2 Crore+","Rs 64,27,623
64 Lacs+","Rs 3,41,118
3 Lacs+","Rs 33,487
33 Thou+","Rs 10,31,191
10 Lacs+",Nil,"Rs 3,68,17,398
3 Crore+",
