0,1,2,3,4,5,6,7,8
i,Cash,"9,00,000  9 Lacs+","3,00,000  3 Lacs+",Nil,Nil,"50,000  50 Thou+",Nil,"Rs 12,50,000
12 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","The Akola Urban Co Op Bank Ltd., A/C No 10150050xxxxx
87,764  87 Thou+

Bank of Maharashtra, A/C No 600494xxxxx
2,26,377  2 Lacs+

Bank of Maharashtra, A/C No 600495xxxxx
5,816  5 Thou+

Dena Bank A/C No 0213100xxxxx
19,81,763  19 Lacs+","The Akola Urban Co Op Bank Ltd., A/C No 10150050xxxxx
2,97,247  2 Lacs+

Dena Bank A/C No 0213100xxxxx
65,66,911  65 Lacs+",Nil,"Dena Bank A/C No 0213100xxxxx
17,965.78  17 Thou+","Dena Bank A/C No 0213100xxxxx
45,887  45 Thou+",Nil,"Rs 92,29,730.78
92 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Prof. Chandrakant Sonawane Path sanstha
1,000  1 Thou+

Akola Urban Co Op Bank Ltd.
37,500  37 Thou+","Khandesh Urban Pathsansta
1,000  1 Thou+

Gujrathi Uraban Pathsanstha
300  3 Hund+

Prof. Chandrakant Sonawane Path sanstha
1,100  1 Thou+",Nil,"Unit Trust India 900 part (10996003001342)
9,000  9 Thou+",Nil,Nil,"Rs 49,900
49 Thou+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,"LIC Policy NO. 9689011735
1,00,000  1 Lacs+

LIC Policy No. 968922684
8,00,000  8 Lacs+

LIC Policy NO. 968913039
3,00,000  3 Lacs+",Nil,"LIC POlicy NO. 965658313
1,00,000  1 Lacs+",Nil,Nil,"Rs 13,00,000
13 Lacs+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Tata Truck MH 19 669
12,00,000  12 Lacs+

Scooty MH19 5999
45,000  45 Thou+

Honda Activa MH 19 BB 6999
65,000  65 Thou+

Honda MH 19 BX 999
1,75,000  1 Lacs+","Tata Sumo (1997) MH 19 - L-8282
8,00,000  8 Lacs+

Tractor MH19 C 69
4,00,000  4 Lacs+

Tractor MH 19 C 0002
4,00,000  4 Lacs+

Innova MH 19 BQ 999
17,00,000  17 Lacs+

Baleno MH 19 DD 9990
8,00,000  8 Lacs+",Nil,Nil,"Honda Activa MH 19
69,000  69 Thou+",Nil,"Rs 56,54,000
56 Lacs+"
vii,Jewellery (give details weight value),"Gold 730 gram
27,74,000  27 Lacs+","Gold 240 gram
9,12,000  9 Lacs+",Nil,Nil,Nil,Nil,"Rs 36,86,000
36 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"74,99,220  74 Lacs+","1,33,78,558  1 Crore+",Nil,"1,27,865  1 Lacs+","1,62,887  1 Lacs+",Nil,"Rs 2,11,68,530
2 Crore+",
Totals (Calculated as Sum of Values),"Rs 74,99,220
74 Lacs+","Rs 1,33,78,558
1 Crore+",Nil,"Rs 1,26,965.78
1 Lacs+","Rs 1,64,887
1 Lacs+",Nil,"Rs 2,11,69,630.78
2 Crore+",
