0,1,2,3,4,5,6,7,8
i,Cash,"2,56,795  2 Lacs+","4,21,560  4 Lacs+","1,09,627  1 Lacs+",Nil,Nil,Nil,"Rs 7,87,982
7 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","State bank of india
13,78,081  13 Lacs+

Punvadi nagari sahkari bank
11,582  11 Thou+

Shivshankar nagari pat sanstha
25,000  25 Thou+

State bank of india
2,000  2 Thou+","State bank of india
12,69,113  12 Lacs+

Zilha madhyavarti sahkari bank ltd.
6,911  6 Thou+

Bank of maharashtra
1,00,000  1 Lacs+","Purnvadi nagari sahkari bank
5,57,707  5 Lacs+

purnvadi nagari sahkari bank
55,746  55 Thou+",Nil,Nil,Nil,"Rs 34,06,140
34 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Jai bhavani sahkari sakhar
10,000  10 Thou+

Mutual fund uti
42,650  42 Thou+

purnvadi nagari sahkari bank
25,000  25 Thou+",Nil,"Purnvadi sahkari bank ltd
1,25,100  1 Lacs+",Nil,Nil,Nil,"Rs 2,02,750
2 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,"HUF
23,26,713  23 Lacs+",Nil,"Sham pawar
39,58,366  39 Lacs+",Nil,Nil,Nil,"Rs 62,85,079
62 Lacs+"
vi,"Motor Vehicles (details of make, etc.)","Scorpio
14,95,323  14 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 14,95,323
14 Lacs+"
vii,Jewellery (give details weight value),"40.70 tola golds
15,79,160  15 Lacs+

Silver 3.200 kg
1,55,200  1 Lacs+","30.50 tola golds
11,83,400  11 Lacs+

silver 1.700 kg
82,450  82 Thou+",Nil,Nil,Nil,Nil,"Rs 30,00,210
30 Lacs+"
viii,"Other assets, such as values of claims / interests","Bhandwadli k. madhavrao pawar
54,49,381  54 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 54,49,381
54 Lacs+"
Gross Total Value (as per Affidavit),"1,27,56,885  1 Crore+","30,63,434  30 Lacs+","48,06,546  48 Lacs+",Nil,Nil,Nil,"Rs 2,06,26,865
2 Crore+",
Totals (Calculated as Sum of Values),"Rs 1,27,56,885
1 Crore+","Rs 30,63,434
30 Lacs+","Rs 48,06,546
48 Lacs+",Nil,Nil,Nil,"Rs 2,06,26,865
2 Crore+",
