0,1,2,3,4,5,6,7,8
i,Cash,"39,993  39 Thou+","65,959  65 Thou+",Nil,Nil,Nil,Nil,"Rs 1,05,952
1 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Haisai Pathsanstha Waduj, Fixed Deposit
5,00,000  5 Lacs+

Axis Bank Camp Pune, A/C No 3050101000xxxxx
1,56,648  1 Lacs+

Axis Bank Camp Pune, A/c No.2470
19,375  19 Thou+

Bank of Maharashtra, Katav, A/C No 202083xxxxx
3,26,996  3 Lacs+

Satara District Central Bank, Khatav, A/C No 10500060xxxxx
1,65,470  1 Lacs+

Siddhnath Pathsanstha, Pusegaon, A/c No. 435
43,505  43 Thou+

Siddhnath Pathsanstha PUsegaon, A/c No. 136
4,310  4 Thou+

Wai Urban Bank
39,264  39 Thou+","Kotak Mahindra 021732058
23,439  23 Thou+

Kotak Mahendra 0212730580
11,60,666  11 Lacs+

IDBI Bank
10,982  10 Thou+

Axis Bank, Camp Pune
36,23,927.08  36 Lacs+

Bank of Maharashtra, Khatav
312  3 Hund+

Satara District Central Bank, Khatav
12,771  12 Thou+

Vidarbh Kokan Bank
10,982  10 Thou+",Nil,Nil,Nil,Nil,"Rs 60,98,647.08
60 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Oasis alcohol (I.) Pvt. Ltd.
37,80,700  37 Lacs+

Oasis Alcohol Brazil Pvt. Ltd.,
2,92,43,342.23  2 Crore+

Oasis Therapeutic Pvt. Ltd., Pune
25,13,017.17  25 Lacs+

Siddhigiri Products Pvt. Ltd., Kolhapur
25,000  25 Thou+

Baramati Agro Ltd,
9,02,500  9 Lacs+

Siddhigiri Biopetrochemicals
60,000  60 Thou+

Nangnath Sugars Pvt. Ltd.
2,62,000  2 Lacs+

Wai Urban Bank
12,500  12 Thou+

ICICI Produncial Dyanamic
3,00,176  3 Lacs+

Employees Provident Fund
36,60,890  36 Lacs+","Oasis alcohol (I.) Pvt. Ltd.,
25,17,100  25 Lacs+

Oasis Alcohol Brazil Pvt. Ltd.,
1,87,04,412  1 Crore+

Nagnath Sugar Pvt Ltd., Pune
1,00,000  1 Lacs+

Oasis Therapeutic Pvt. Ltd., Pune
13,50,466  13 Lacs+

Employee Provident Fund
85,65,169  85 Lacs+",Nil,Nil,Nil,Nil,"Rs 7,19,97,272.40
7 Crore+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,"LIC Policy No. 993687407
5,00,000  5 Lacs+

LIC Policy No. 993932949
1,15,000  1 Lacs+

Max Life Insurance 709929293
11,00,000  11 Lacs+

Max Life Insurance 601680671
25,00,000  25 Lacs+

Max Life Insurance 25149768
0*(Value Not Given)",Nil,Nil,Nil,Nil,"Rs 42,15,000
42 Lacs+",
v,Personal loans/advance given,"Oasis alcohol (I.) Pvt. Ltd.
1,40,00,000  1 Crore+

Shardul Diagnostic center
29,00,000  29 Lacs+

Shobha Rao
3,50,000  3 Lacs+

Siddhigiri Biopetrochemicals
1,87,000  1 Lacs+

Siddhigiri Products Pvt. Ltd.
25,00,000  25 Lacs+","Oasis alcohol (I.) Pvt. Ltd.
92,77,288  92 Lacs+

Akshay Savilkar
1,90,000  1 Lacs+

Shobha Rao
8,00,000  8 Lacs+

Akshay Patil
10,00,000  10 Lacs+

Aashis Bhosale
20,00,000  20 Lacs+

Nipun Mansuri
50,00,000  50 Lacs+

Mahesh Ghadge
10,00,000  10 Lacs+

Mahesh Shinde
3,30,859  3 Lacs+

Manjusha Deshmukh
18,00,000  18 Lacs+

Aruna Burg
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 4,18,35,147
4 Crore+"
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
vii,Jewellery (give details weight value),"Biscuit 500 gram
18,00,000  18 Lacs+

Chain Bracelet 110 gram
3,96,000  3 Lacs+

Silver 3 KG
1,45,500  1 Lacs+

Ring (Manik & Diamand)
9,50,000  9 Lacs+","Biscuit 500 gram
18,00,000  18 Lacs+

Shreedhan 620 gram
22,32,000  22 Lacs+

Silver 1 Kg
45,500  45 Thou+",Nil,Nil,Nil,Nil,"Rs 73,69,000
73 Lacs+"
viii,"Other assets, such as values of claims / interests","Licence Pistol
25,00,000  25 Lacs+

Oasis alcohol (I.) Pvt. Ltd.
1,51,352  1 Lacs+

Plot Live & Licence B Wing, Plot No. 508, Harishchandra Goregaonkar Road, Gaondevi Mumbai - 7
30,00,000  30 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 56,51,352
56 Lacs+"
Gross Total Value (as per Affidavit),"7,09,75,538  7 Crore+","6,68,95,086.55  6 Crore+",Nil,"10,00,000  10 Lacs+","15,00,000  15 Lacs+",Nil,"Rs 14,03,70,624.55
14 Crore+",
Totals (Calculated as Sum of Values),"Rs 7,09,35,538.40
7 Crore+","Rs 6,63,36,832.08
6 Crore+",Nil,Nil,Nil,Nil,"Rs 13,72,72,370.48
13 Crore+",
