0,1,2,3,4,5,6,7,8
i,Cash,"1,80,601  1 Lacs+","90,830  90 Thou+","1,47,600  1 Lacs+",Nil,Nil,Nil,"Rs 4,19,031
4 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","FDRS
5,54,440  5 Lacs+

Savings Account
36,09,517  36 Lacs+","FDRS
6,83,85,319  6 Crore+

Savings Account
4,56,425  4 Lacs+

Sweep Account
15,49,342  15 Lacs+","Savings Account
21,645  21 Thou+

Sweep Account
7,10,000  7 Lacs+",Nil,Nil,Nil,"Rs 7,52,86,688
7 Crore+"
iii,"Bonds, Debentures and Shares in companies","Bonds
3,20,000  3 Lacs+

Shares
4,04,83,799  4 Crore+

Other Investments
3,43,58,239  3 Crore+","Bonds
2,20,000  2 Lacs+

Shares
4,04,21,304  4 Crore+

Other Investments
36,33,187  36 Lacs+",Nil,Nil,Nil,Nil,"Rs 11,94,36,529
11 Crore+"
iv,"(a)
NSS, Postal Savings etc","61,85,000  61 Lacs+","22,10,000  22 Lacs+",Nil,Nil,Nil,Nil,"Rs 83,95,000
83 Lacs+"
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,"1,14,81,27,252  114 Crore+","91,46,22,884  91 Crore+","8,84,15,157  8 Crore+",Nil,Nil,Nil,"Rs 2,15,11,65,293
215 Crore+"
vi,"Motor Vehicles (details of make, etc.)","Jaguar Car MH-04-EX-2610, 31-03-2018
14,00,000  14 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 14,00,000
14 Lacs+"
vii,Jewellery (give details weight value),"Gold-9667 Gms, Silver-79554 Gms
6,55,89,812  6 Crore+","Gold-14456 Gms Silver-65554 Gms
7,22,03,130  7 Crore+","Gold-3000 Gms Silver-29931 Gms
1,28,96,674  1 Crore+",Nil,Nil,Nil,"Rs 15,06,89,616
15 Crore+"
viii,"Other assets, such as values of claims / interests","IT Refund
1,58,17,128  1 Crore+","IT Refund
33,40,443  33 Lacs+","IT Refund
41,369  41 Thou+",Nil,Nil,Nil,"Rs 1,91,98,940
1 Crore+"
Gross Total Value (as per Affidavit),"1,31,66,25,788  131 Crore+","1,10,71,32,864  110 Crore+","10,22,32,445  10 Crore+",Nil,Nil,Nil,"Rs 2,52,59,91,097
252 Crore+",
Totals (Calculated as Sum of Values),"Rs 1,31,66,25,788
131 Crore+","Rs 1,10,71,32,864
110 Crore+","Rs 10,22,32,445
10 Crore+",Nil,Nil,Nil,"Rs 2,52,59,91,097
252 Crore+",
