0,1,2,3,4,5,6,7,8
i,Cash,"1,65,136  1 Lacs+","1,15,453  1 Lacs+",Nil,"1,30,830  1 Lacs+",Nil,Nil,"Rs 4,11,419
4 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Axis Bank Islampur
24,880  24 Thou+

Bank of India,Shirala
2,20,365  2 Lacs+

Tarukh Patpedhi,Mumbai
10,00,100  10 Lacs+

Shirala Arban Bank Chikhali
9,630  9 Thou+

Shirala Arban Bank-Shirala
2,32,963  2 Lacs+

State bank of india,shrala
2,28,528  2 Lacs+

Sangali DCC Chikhali
1,315  1 Thou+

Sangali DCC Shirala
13,750  13 Thou+","Bank of india Shirala
1,28,204  1 Lacs+

Shirala arban bank,chikhali
22,536  22 Thou+

Shirala Arban Bank,Shirala
12,391  12 Thou+

Sangali DCC Chikhali
8,244  8 Thou+

Sangali DCC Shirala
8,826  8 Thou+

Karad Arban Shirala
11,723  11 Thou+

Bank of India Term Deposits
17,01,001  17 Lacs+

Karad Arban Term Deposits
13,45,936  13 Lacs+

Aanandrao Naik Bank
75,000  75 Thou+",Nil,"Bank of india,Shirala
2,90,000  2 Lacs+

Shirala Arban Bank Shirala
74,000  74 Thou+

Bank of india Term Deposits
3,98,987  3 Lacs+",Nil,Nil,"Rs 58,08,379
58 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Vishwas Sakhar chikhali
10,000  10 Thou+

Viraj Alkohol Shirala
2,81,69,830  2 Crore+

Viraj Haitech Shirala
10,000  10 Thou+

Yashwant Gulcoj
2,000  2 Thou+

Shirala Arban
25,000  25 Thou+

Tarukh Patpedhi Mumbai
1,000  1 Thou+","Vishvas Sakhar Chikhali
10,000  10 Thou+

Viraj Alkohol Shirala
1,79,01,248  1 Crore+

Viraj Haitech Shirala
3,08,000  3 Lacs+

Viraj Catal Fid
20,00,000  20 Lacs+

Viraj Vaynari
10  

Vsheshwar Co-Op. Bank
2,200  2 Thou+",Nil,"Vishwas Sakhar Chikhali
10,000  10 Thou+

Viraj Alkohol Shirala
71,00,000  71 Lacs+

Viraj Haitech Shirala
6,20,000  6 Lacs+

Shirala Arban
17,500  17 Thou+

Viraj Catel Fid
15,00,000  15 Lacs+

Viraj Refinari
10,000  10 Thou+",Nil,Nil,"Rs 5,76,96,788
5 Crore+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC
28,42,724  28 Lacs+

India First Life Insurance
5,00,000  5 Lacs+","India First Life Insurance
5,00,000  5 Lacs+

Max Life Insurance
69,393  69 Thou+

Reliance LIfe insurance
3,95,999  3 Lacs+",Nil,"LIC
2,19,75,572  2 Crore+",Nil,Nil,"Rs 2,62,83,688
2 Crore+",
v,Personal loans/advance given,"Aapla bajar Shirala
0","36,35,452  36 Lacs+",Nil,"46,36,701  46 Lacs+",Nil,Nil,"Rs 82,72,153
82 Lacs+"
vi,"Motor Vehicles (details of make, etc.)","Toyato Inova Car-MH09CF0101 Date-29-01-2012
14,87,002  14 Lacs+",Nil,Nil,"Honda CRV Car MH10BZ0101 DATE-19-08-2015
29,16,005  29 Lacs+

Jan Dear Tractor MH10BX5964 DATE-28-12-2016
9,65,000  9 Lacs+",Nil,Nil,"Rs 53,68,007
53 Lacs+"
vii,Jewellery (give details weight value),"Gold-40 Tola
14,00,000  14 Lacs+","Gold 80 Tola
28,00,000  28 Lacs+",Nil,Nil,Nil,Nil,"Rs 42,00,000
42 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"3,66,14,782  3 Crore+","3,10,51,616  3 Crore+",Nil,"4,06,44,595  4 Crore+",Nil,Nil,"Rs 10,83,10,993
10 Crore+",
Totals (Calculated as Sum of Values),"Rs 3,63,44,223
3 Crore+","Rs 3,10,51,616
3 Crore+",Nil,"Rs 4,06,44,595
4 Crore+",Nil,Nil,"Rs 10,80,40,434
10 Crore+",
