0,1,2,3,4,5,6,7,8
i,Cash,"4,54,635  4 Lacs+","97,232  97 Thou+",Nil,Nil,Nil,Nil,"Rs 5,51,867
5 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","DCB Bank Kurla W, Branch Mumbai
1,46,432  1 Lacs+

Bank of India A/C No 0170121100xxxxx Kurla W, Branch Mumbai
2,57,350  2 Lacs+

Bank of India A/C No 0170101100xxxxx Kurla W, Branch Mumbai
1,00,000  1 Lacs+","DCB Bank Kurla W, Branch Mumbai
1,44,584  1 Lacs+

BMC Bank Kurla W Branch, mumbai
47,848  47 Thou+",Nil,Nil,Nil,Nil,"Rs 6,96,214
6 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Partner in Registered Firm M/s Malik Steels
35,231  35 Thou+","Partner in Registered Firm M/s Malik Infrastructure
70,47,208  70 Lacs+

M/s Malik Steels
4,60,022  4 Lacs+

Investment in Heera Gold Export
93,571  93 Thou+

Shares in Solidus Investment Pvt ltd.
36,01,380  36 Lacs+

Shares in Solidus Investment Pvt ltd.
1,00,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,13,37,412
1 Crore+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC Policy
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 5,00,000
5 Lacs+",
v,Personal loans/advance given,"Taxes paid
2,61,233  2 Lacs+

Sana malik
2,55,000  2 Lacs+

Aamir Malik
10,00,000  10 Lacs+","1,25,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 16,41,233
16 Lacs+"
vi,"Motor Vehicles (details of make, etc.)","Motor Car Skoda MH03BH-1489
6,97,514  6 Lacs+","Motor Car Maruti Ertiga
4,00,585  4 Lacs+",Nil,Nil,Nil,Nil,"Rs 10,98,099
10 Lacs+"
vii,Jewellery (give details weight value),Nil,"849 gms. Jewellery
32,43,605  32 Lacs+",Nil,Nil,Nil,Nil,"Rs 32,43,605
32 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"37,07,396  37 Lacs+","1,53,61,035  1 Crore+",Nil,Nil,Nil,Nil,"Rs 1,90,68,431
1 Crore+",
Totals (Calculated as Sum of Values),"Rs 37,07,395
37 Lacs+","Rs 1,53,61,035
1 Crore+",Nil,Nil,Nil,Nil,"Rs 1,90,68,430
1 Crore+",
