0,1,2,3,4,5,6,7,8
i,Cash,"CASH
4,00,000  4 Lacs+","CASH
1,00,000  1 Lacs+","CASH
4,34,460  4 Lacs+",Nil,Nil,Nil,"Rs 9,34,460
9 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI BANK
1,001.18  1 Thou+

CENTRAL BANK OF INDIA
939.42  9 Hund+

URBAN CO OP BANK
755  7 Hund+

NDCC BANK
6,262  6 Thou+

BANK OF INDIA
0  

CANARA BANK
80  

HDFC BANK
11,567.70  11 Thou+","SBI BANK
10,566  10 Thou+","BOI
9,177  9 Thou+",Nil,Nil,Nil,"Rs 40,348.30
40 Thou+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC
12,00,000  12 Lacs+

LIC
5,00,000  5 Lacs+

LIC
15,00,000  15 Lacs+

LIC
33,30,000  33 Lacs+

LIC
2,50,000  2 Lacs+

LIC
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 72,80,000
72 Lacs+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","TOYOTA INNOVA
7,50,000  7 Lacs+

HYUNDAI MOTORS
9,03,500  9 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 16,53,500
16 Lacs+"
vii,Jewellery (give details weight value),"GOLD 11 TOLQ
4,00,000  4 Lacs+","GOLD 39.6 TOLA
15,24,600  15 Lacs+",Nil,Nil,Nil,Nil,"Rs 19,24,600
19 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"97,54,104  97 Lacs+","16,35,166  16 Lacs+","4,43,637  4 Lacs+",Nil,Nil,Nil,"Rs 1,18,32,907
1 Crore+",
Totals (Calculated as Sum of Values),"Rs 97,54,105.30
97 Lacs+","Rs 16,35,166
16 Lacs+","Rs 4,43,637
4 Lacs+",Nil,Nil,Nil,"Rs 1,18,32,908.30
1 Crore+",
