0,1,2,3,4,5,6,7,8
i,Cash,"60,000  60 Thou+","70,000  70 Thou+","20,000  20 Thou+",Nil,Nil,Nil,"Rs 1,50,000
1 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","FD
3,98,077  3 Lacs+

PPF
14,53,893  14 Lacs+

SBI
12,42,527  12 Lacs+

KNSB
19,817  19 Thou+","FD
17,84,740  17 Lacs+

Saving Ac
25,41,812  25 Lacs+","SBI
1,49,777  1 Lacs+",Nil,Nil,Nil,"Rs 75,90,643
75 Lacs+"
iii,"Bonds, Debentures and Shares in companies","9,640  9 Thou+

1,69,000  1 Lacs+","Bonds
80,000  80 Thou+",Nil,Nil,Nil,Nil,"Rs 2,58,640
2 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,"POst PPf
14,04,031  14 Lacs+

NSC
35,783  35 Thou+",Nil,Nil,Nil,Nil,"Rs 14,39,814
14 Lacs+"
"(b)
LIC or other insurance Policies","LIC
24,89,300  24 Lacs+","LIC
4,92,312  4 Lacs+",Nil,Nil,Nil,Nil,"Rs 29,81,612
29 Lacs+",
v,Personal loans/advance given,"7,65,827  7 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 7,65,827
7 Lacs+"
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
vii,Jewellery (give details weight value),"200 Gm
7,60,000  7 Lacs+","500 Gm
19,00,000  19 Lacs+",Nil,Nil,Nil,Nil,"Rs 26,60,000
26 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"73,68,081  73 Lacs+","83,08,678  83 Lacs+","1,69,777  1 Lacs+",Nil,Nil,Nil,"Rs 1,58,46,536
1 Crore+",
Totals (Calculated as Sum of Values),"Rs 73,68,081
73 Lacs+","Rs 83,08,678
83 Lacs+","Rs 1,69,777
1 Lacs+",Nil,Nil,Nil,"Rs 1,58,46,536
1 Crore+",
