0,1,2,3,4,5,6,7,8
i,Cash,"2,09,000  2 Lacs+","1,99,000  1 Lacs+","1,99,000  1 Lacs+",Nil,Nil,Nil,"Rs 6,07,000
6 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","(1)FD No.03950300092691 BOI Ghatkoper (W),(2)SB A/c 03950100001915 BOB Ghatkoper(W)(3)Sb A/c 03950100033641 BOB Ghatkoper (W) (4)SB A/c002601000628 ICICI Bank Ghatkoper (E) (5)SB A/c 03950100037164 BOB Ghatkoper (W)
54,35,462  54 Lacs+","(1)FD No.13780300024168 BOB Ghatkoper(E),(2)SB A/C 03950100008195 BOB Ghatkoper(E)
2,65,75,696  2 Crore+","(1)FD No.002610059875 & FD No.002610060232 ICICI Bank Ghatkoper(E),(2)SB A/C.03950100009712 BOB Gatkoper(W),(3)SB A/C.002601013208ICICI BAnk Ghatkoper(E)
1,44,37,639  1 Crore+",Nil,Nil,Nil,"Rs 4,64,48,797
4 Crore+"
iii,"Bonds, Debentures and Shares in companies","Mutual Fund
2,70,66,739  2 Crore+

Shares Listed
1,99,94,22,195  199 Crore+

sharea UNLISTED
2,21,66,559  2 Crore+","Mutual Fund
0  

Shares Listed
1,00,64,47,786  100 Crore+

SHARES unlisted
4,52,10,831  4 Crore+","Shares Listed
20,93,12,534  20 Crore+

Shares Ulisted
400  4 Hund+",Nil,Nil,Nil,"Rs 3,30,96,27,044
330 Crore+"
iv,"(a)
NSS, Postal Savings etc","PPF
48,78,372  48 Lacs+","PPF
34,14,186  34 Lacs+",Nil,Nil,Nil,Nil,"Rs 82,92,558
82 Lacs+"
"(b)
LIC or other insurance Policies","LIC Policy
4,25,09,655  4 Crore+","LIC Policies
3,23,85,874  3 Crore+",Nil,Nil,Nil,Nil,"Rs 7,48,95,529
7 Crore+",
v,Personal loans/advance given,"27,75,06,385  27 Crore+","44,85,97,681  44 Crore+",Nil,Nil,Nil,Nil,"Rs 72,61,04,066
72 Crore+"
vi,"Motor Vehicles (details of make, etc.)","Skoda Rapid Year-2017 MH03CM9800
8,98,884  8 Lacs+","Ferrari California Year 2017 MH04JF9800
2,47,09,500  2 Crore+",Nil,Nil,Nil,Nil,"Rs 2,56,08,384
2 Crore+"
vii,Jewellery (give details weight value),"Gold Jewellery & Gold 1648.15 gram
63,14,156  63 Lacs+

Diamond Gold Jewellery287.20+33.99Carat Diamond
59,03,942  59 Lacs+

Silver 2211 Gram
1,07,819  1 Lacs+","Gold Jewellery & Gold 1856.86 Gram
62,73,267  62 Lacs+

Diamond Gold Jewellery consisting Of 833.51 Gram Gold+ 118.96 Carat Diamond
75,24,854  75 Lacs+","Gold Jewellery & Gold 1856.86 Gram
19,29,250  19 Lacs+

Diamond Gold Jewellery consisting Of 93.90 Gram Gold + 54.49 Carat Diamond
63,45,540  63 Lacs+

Silver 2343 Gram
1,14,268  1 Lacs+",Nil,Nil,Nil,"Rs 3,45,13,096
3 Crore+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"2,39,24,19,168  239 Crore+","1,60,13,38,675  160 Crore+","23,23,38,631  23 Crore+",Nil,Nil,Nil,"Rs 4,22,60,96,474
422 Crore+",
Totals (Calculated as Sum of Values),"Rs 2,39,24,19,168
239 Crore+","Rs 1,60,13,38,675
160 Crore+","Rs 23,23,38,631
23 Crore+",Nil,Nil,Nil,"Rs 4,22,60,96,474
422 Crore+",
