0,1,2,3,4,5,6,7,8
i,Cash,"16,05,977  16 Lacs+","2,75,739  2 Lacs+",Nil,"2,000  2 Thou+",Nil,Nil,"Rs 18,83,716
18 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","bank of india
15,09,734  15 Lacs+

axis bank
79,201  79 Thou+

bank of baroda
1,32,182  1 Lacs+

bank of india
3,387  3 Thou+

bank of india
17,09,376  17 Lacs+

HDFC bank
4,18,534  4 Lacs+

ICICI bank
1,24,129  1 Lacs+

IDBI bank
4,57,378  4 Lacs+

kranal co-op bank
85,146  85 Thou+

sbi bank
3,16,124  3 Lacs+

union bank of india
76,089  76 Thou+

Bank of india
80,00,000  80 Lacs+

Bank of India
27,50,000  27 Lacs+

Bank of India
30,00,000  30 Lacs+

Bank of India
20,50,000  20 Lacs+

Bank of India
47,00,000  47 Lacs+

Bank of India
40,00,000  40 Lacs+

Bank of India
55,00,000  55 Lacs+

Bank of India
1,05,00,000  1 Crore+

Bank of India
58,00,000  58 Lacs+

Bank of India
52,00,000  52 Lacs+

Bank of India
30,00,000  30 Lacs+

Bank of India
52,00,000  52 Lacs+

Bank of India
67,50,000  67 Lacs+

Bank of India
63,00,000  63 Lacs+

Bank of India
63,00,000  63 Lacs+

Bank of India
76,00,000  76 Lacs+

Bank of India
44,00,000  44 Lacs+

Bank of India
1,00,00,000  1 Crore+

Bank of India
95,00,000  95 Lacs+

Bank of India
72,00,000  72 Lacs+

Bank of India
80,00,000  80 Lacs+

Bank of India
64,00,000  64 Lacs+

Bank of India
37,00,000  37 Lacs+

Bank of India
36,50,000  36 Lacs+

Bank of India
21,00,000  21 Lacs+

Bank of India
38,00,000  38 Lacs+

Bank of India
70,00,000  70 Lacs+

Bank of India
52,00,000  52 Lacs+

Bank of India
1,20,00,000  1 Crore+

Bank of India
70,00,000  70 Lacs+

Shantewari pantsanstha
11,84,500  11 Lacs+

Shantewari pantsanstha
11,43,272  11 Lacs+

Shantewari pantsanstha
33,65,079  33 Lacs+

Shantewari pantsanstha
19,66,300  19 Lacs+

Adarsh mahanagri patsanstha
21,20,000  21 Lacs+","Axis bank
2,36,031  2 Lacs+

bank of india
16,71,125  16 Lacs+

Hdfc bank
10,000  10 Thou+

icici bank
89,421  89 Thou+

icici bank
39,625  39 Thou+

kranal co-op bank
16,532  16 Thou+

bank of india
98,50,000  98 Lacs+

bank of india
52,50,000  52 Lacs+

bank of india
99,50,000  99 Lacs+

bank of india
1,90,000  1 Lacs+

bank of india
75,00,000  75 Lacs+

bank of india
75,00,000  75 Lacs+

bank of india
95,00,000  95 Lacs+

bank of india
94,00,000  94 Lacs+

bank of india
96,00,000  96 Lacs+

icici bank
1,00,00,000  1 Crore+

icici bank
19,00,000  19 Lacs+",Nil,"bank of india
1,41,788  1 Lacs+

bank of baroda
5,05,686  5 Lacs+

icici bank
14,692  14 Thou+

bank of india
21,00,000  21 Lacs+

bank of india
19,25,000  19 Lacs+

Bank of baroda
1,31,620  1 Lacs+",Nil,Nil,"Rs 27,88,11,951
27 Crore+"
iii,"Bonds, Debentures and Shares in companies","bank of india
34,150  34 Thou+

kranal nagri bank
25,005  25 Thou+

miti
60,000  60 Thou+

tbipl
50,000  50 Thou+

ops softwere solution
50,000  50 Thou+

mlhar network
50,000  50 Thou+

adrash mila nagri
10,000  10 Thou+

idbi nifty
2,00,000  2 Lacs+

alfa comdity
49,500  49 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 5,28,655
5 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","Future General Insurance 1435639
16,52,150  16 Lacs+

ICICI 16807556
6,79,000  6 Lacs+

ICICI 17195866
33,95,000  33 Lacs+

ICICI 19746266
50,00,000  50 Lacs+

Ayruvima 923106010
1,25,00,000  1 Crore+

Ayruvima 923209360
7,00,000  7 Lacs+

Ayruvima 923209363
9,00,000  9 Lacs+

Ayruvima 923663558
50,00,000  50 Lacs+

Ayruvima 925973673
75,00,000  75 Lacs+

Ayruvima 925973795
62,00,000  62 Lacs+

Ayruvima 927299688
1,80,00,000  1 Crore+

Star Health And Alloid Insurance Mediclaim P/171126/01/2017/00054
25,00,000  25 Lacs+

HDFC 19657617
40,00,000  40 Lacs+

Bajaj Allianz Life Insurance 12527978
5,00,000  5 Lacs+

Bajaj Allianz Life Insurance 163593362
1,25,000  1 Lacs+

Bajaj Allianz Life Insurance 367782993
10,00,000  10 Lacs+

icici prudential Policy No 16807504
13,58,000  13 Lacs+","ICICI Policy 36765261
50,00,000  50 Lacs+

Ayurvima 923012069
5,00,000  5 Lacs+

Ayurvima 923976804
6,00,000  6 Lacs+

Agon Religear Life Insurance 120713571986
20,00,000  20 Lacs+

Agon Religear Life Insurance 12113673996
20,00,000  20 Lacs+

Max Life Insurance 131385858
12,00,000  12 Lacs+

HDFC 21011992
18,13,894  18 Lacs+",Nil,"Ayurvima 923021842
15,00,000  15 Lacs+

Ayurvima 923525447
25,00,000  25 Lacs+",Nil,Nil,"Rs 8,81,23,044
8 Crore+",
v,Personal loans/advance given,"Arun Patil
25,000  25 Thou+

M G Katkari
50,040  50 Thou+

Nilesh Patil
13,28,000  13 Lacs+

B L Patil
62,500  62 Thou+

P V Patil
50,000  50 Thou+

S P Katkari
36,140  36 Thou+

V H Mhatre
2,50,000  2 Lacs+

Paradise Life Space
96,03,169  96 Lacs+

S R Developers
1,50,00,000  1 Crore+

Apas Software Solutions Pvt Ltd
3,85,269  3 Lacs+

Bharti Sangam
51,000  51 Thou+

Bhushan Shashikant Hatvale
7,00,000  7 Lacs+

Chanakya Enterprises
4,50,000  4 Lacs+

Karan Indrapal Patil
4,00,000  4 Lacs+

Kishore Bhaskar Votmal
3,50,000  3 Lacs+

Mahadik
50,000  50 Thou+

MOhammad Hayat Khan
1,00,000  1 Lacs+

Raj Bahadur Saroj
1,00,000  1 Lacs+

Raj Sanjay Patil
4,00,000  4 Lacs+

Sagar Ramesh Mane
4,00,000  4 Lacs+

Shrivastav Keni
2,00,000  2 Lacs+

Swapnil Arun Thakur
11,80,000  11 Lacs+

Vijay Patil
3,00,000  3 Lacs+

Vinod Sharma
1,00,000  1 Lacs+

Yogesh Jobha Tandel
5,00,000  5 Lacs+

Ramsheth Thakur
1,30,00,000  1 Crore+

Ramsheth Thalur
1,20,00,000  1 Crore+

Kalpvruksh Infraproject
3,20,61,752  3 Crore+

Malhar Network Pvt Ltd
5,00,000  5 Lacs+

Ramsheth Thakur
40,000  40 Thou+

Thakur Brothers Infraprojects
24,09,151  24 Lacs+

Other Party
3,55,000  3 Lacs+

MSDE Security Deposit
2,33,688  2 Lacs+

Yearly P. Takur
69,62,609  69 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 9,96,33,318
9 Crore+"
vi,"Motor Vehicles (details of make, etc.)","four whweeler
1,94,503  1 Lacs+

toyota
7,73,629  7 Lacs+

marsahl
4,16,300  4 Lacs+

ford
29,81,850  29 Lacs+","Schwing Stetter Transit Mixer MH06AQ6678
23,17,491  23 Lacs+",Nil,Nil,Nil,Nil,"Rs 66,83,773
66 Lacs+"
vii,Jewellery (give details weight value),"320gram gold
12,00,000  12 Lacs+","500 gram gold
18,75,000  18 Lacs+",Nil,"1,12,500  1 Lacs+","30gram gold
3,75,000  3 Lacs+",Nil,"Rs 35,62,500
35 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"36,96,33,817  36 Crore+","10,02,84,859  10 Crore+",Nil,"89,33,286  89 Lacs+","37,500  37 Thou+",Nil,"Rs 47,88,89,462
47 Crore+",
