0,1,2,3,4,5,6,7,8
i,Cash,"27,243  27 Thou+","25,000  25 Thou+",Nil,Nil,Nil,Nil,"Rs 52,243
52 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Catholic Bank
9,115  9 Thou+

SBI
11,570  11 Thou+

SBI
2,27,967  2 Lacs+

Axis Bank
1,04,194  1 Lacs+

BOI
2,71,973  2 Lacs+

KDCC Bank
40,66,318  40 Lacs+

KDCC Bank
15,569  15 Thou+

Ravalnath Patsanstha
1,39,564  1 Lacs+

Bharat Petroleum
2,00,000  2 Lacs+

Daulat Shetkari Sugar Factury
25,000  25 Thou+

Ravalnath Patsanstha
1,88,580  1 Lacs+","Catholic Bank
22,037  22 Thou+

Axis Bank
72,571  72 Thou+","KDCC Bank
7,28,404  7 Lacs+

Yashvant Patsanstha
1,311  1 Thou+

Corporation Bank
4,19,425  4 Lacs+

Catholic Bank
1,02,339  1 Lacs+

BOI
7,075  7 Thou+

Narsingh Patsanstha
3,66,990  3 Lacs+

Chandgad District
2,15,037  2 Lacs+

Yashvant Patsanstha
75,488  75 Thou+",Nil,Nil,Nil,"Rs 72,70,527
72 Lacs+"
iii,"Bonds, Debentures and Shares in companies","SBI
1,370  1 Thou+

BOI
9,135  9 Thou+

Unit Trust Of India
1,56,553  1 Lacs+

Daulat Shetkari Sugar Factory
5,000  5 Thou+

Mahalaxmi Dairy
2,000  2 Thou+

Chandgad Patsanstha
1,000  1 Thou+

Mhalevadi Grain Agriculture
100  1 Hund+

Shri Ram Ratali
100  1 Hund+

Shri Gajanan Rice Purchase
100  1 Hund+

Dattguru Potato Purchase
100  1 Hund+

Narsingh Cashew Purchase
100  1 Hund+

Narsingh Patsanstha
1,200  1 Thou+

Guruvarya Gurunath Dairy Production
110  1 Hund+

Dattguru Seva Society
38,060  38 Thou+

Dipak Jaggery Purchase
2,500  2 Thou+

Kolhapue Sangh
505  5 Hund+","Mandlik Mahila Sanstha
5,060  5 Thou+

Chandgad Sangh
1,000  1 Thou+

Mhalevadi Sanstha
100  1 Hund+

Shri Ram Ratali
100  1 Hund+

Shri Gajanan Rice Purchase
100  1 Hund+

Dattguru Potato Purchase
100  1 Hund+

Narsingh Cashew Purchase
100  1 Hund+

Dattguru Seva Society
100  1 Hund+

Dipak Jaggery Purchase
1,000  1 Thou+",Nil,Nil,Nil,Nil,"Rs 2,25,593
2 Lacs+"
iv,"(a)
NSS, Postal Savings etc","PLF
2,00,600  2 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 2,00,600
2 Lacs+"
"(b)
LIC or other insurance Policies","LIC
5,00,000  5 Lacs+","LIC
30,000  30 Thou+

Max Life Insurance
96,031  96 Thou+","LIC
5,00,000  5 Lacs+

Max Life Insurance
2,00,000  2 Lacs+",Nil,Nil,Nil,"Rs 13,26,031
13 Lacs+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Innova Crysta MH09PF7077
19,00,000  19 Lacs+

Swift Desire MH09BF7077
1,65,349  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 20,65,349
20 Lacs+"
vii,Jewellery (give details weight value),Nil,"83 Gram Gold
3,01,913  3 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,01,913
3 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"82,70,975  82 Lacs+","5,55,212  5 Lacs+","26,16,069  26 Lacs+",Nil,Nil,Nil,"Rs 1,14,42,256
1 Crore+",
Totals (Calculated as Sum of Values),"Rs 82,70,975
82 Lacs+","Rs 5,55,212
5 Lacs+","Rs 26,16,069
26 Lacs+",Nil,Nil,Nil,"Rs 1,14,42,256
1 Crore+",
