0,1,2,3,4,5,6,7,8
i,Cash,"50,000  50 Thou+","20,000  20 Thou+",Nil,Nil,Nil,Nil,"Rs 70,000
70 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","44,83,856  44 Lacs+","14,08,846  14 Lacs+",Nil,"Term Deposits
25,000  25 Thou+",Nil,Nil,"Rs 59,17,702
59 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Mirai asets tax saver fund
1,71,388  1 Lacs+","Mirai Asests Tax Sever fund
1,71,500  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,42,888
3 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","lic No. 926382620
10,00,000  10 Lacs+

lic No.927239424
8,00,000  8 Lacs+

lic No.925239294
7,50,000  7 Lacs+

lic No.923672105
2,95,000  2 Lacs+

Bajaj Finance Policy No.0316866672
2,50,000  2 Lacs+

Bajaj finanance Policy NO.0139572988
15,00,000  15 Lacs+",Nil,Nil,"lic policey 923672106
2,25,000  2 Lacs+",Nil,Nil,"Rs 48,20,000
48 Lacs+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Honda Vangnar MH48BAH5099 Purchase year-2019
5,80,000  5 Lacs+

Toyato Enova MH01AX0529 OLD Van PUrchase Year 2018
6,15,000  6 Lacs+

Hero Honda Motor Cycle MH04F5805 Purchase Year 2000
44,000  44 Thou+","Honda Do-2 Wheeler MH48R0328 Purchase Year-2012
55,000  55 Thou+",Nil,Nil,Nil,Nil,"Rs 12,94,000
12 Lacs+"
vii,Jewellery (give details weight value),"50 Gram Gold
1,92,250  1 Lacs+","500 gram Gold
19,22,250  19 Lacs+",Nil,Nil,Nil,Nil,"Rs 21,14,500
21 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"1,07,31,494  1 Crore+","35,78,596  35 Lacs+",Nil,"2,50,000  2 Lacs+",Nil,Nil,"Rs 1,45,60,090
1 Crore+",
Totals (Calculated as Sum of Values),"Rs 1,07,31,494
1 Crore+","Rs 35,77,596
35 Lacs+",Nil,"Rs 2,50,000
2 Lacs+",Nil,Nil,"Rs 1,45,59,090
1 Crore+",
