0,1,2,3,4,5,6,7,8
i,Cash,"4,951  4 Thou+","11,143  11 Thou+",Nil,Nil,Nil,Nil,"Rs 16,094
16 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Syndicate Bank Bhandup W Sb A/c 50592010030932
20,544.49  20 Thou+

Kurla Nagrik Sah Bank Barve Rd, Kurla W SB A/c 2010200027491
1,86,291.77  1 Lacs+

SBI BHandup W SB A/c 35465568168
36,720.30  36 Thou+

ICICI Mulund W A/c 623801535873
1,52,049.71  1 Lacs+

Syndicate bank bhandup W CA A/c 50591010005116
18,769  18 Thou+

ICICI Bank
22,000  22 Thou+

10,000  10 Thou+","Syndicate Bank Bhandup W SB A/c 50592010027836
41,629.84  41 Thou+

Syndicate Bank Bhandup W CA A/c 50591010003295
22,887.51  22 Thou+

Syndicate Bank Bhandup W CA A/c 50591010005120
38,797  38 Thou+",Nil,Nil,Nil,Nil,"Rs 5,49,689.62
5 Lacs+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc","NSC No 77CC407233 77CC407234 19.10.2012
3,991  3 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 3,991
3 Thou+"
"(b)
LIC or other insurance Policies","policy No 883752878 17.02.2011
12,130  12 Thou+","LIC
12,130  12 Thou+",Nil,Nil,Nil,Nil,"Rs 24,260
24 Thou+",
v,Personal loans/advance given,"Ashvamedh Enterprises
3,95,117  3 Lacs+

Sai Sanstha Enterprises
7,08,032  7 Lacs+

Sudhanshu Infra P Ltd
82,883  82 Thou+","Gajanan Walalwalkar
96,750  96 Thou+

Ramesh Korgaonkar
8,54,011  8 Lacs+

Shivram Singh Bros
1,69,496  1 Lacs+

Sudhanshu Infra
3,03,646  3 Lacs+

Suyog developers
6,20,161  6 Lacs+",Nil,Nil,Nil,Nil,"Rs 32,30,096
32 Lacs+"
vi,"Motor Vehicles (details of make, etc.)",Nil,"poclain Machine
18,70,000  18 Lacs+",Nil,Nil,Nil,Nil,"Rs 18,70,000
18 Lacs+"
vii,Jewellery (give details weight value),"80 Gm Gold
2,96,000  2 Lacs+","Gold 300 Gm
11,10,000  11 Lacs+",Nil,Nil,Nil,Nil,"Rs 14,06,000
14 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"19,49,499.27  19 Lacs+","51,50,651.35  51 Lacs+",Nil,Nil,Nil,Nil,"Rs 71,00,150.62
71 Lacs+",
Totals (Calculated as Sum of Values),"Rs 19,49,479.27
19 Lacs+","Rs 51,50,651.35
51 Lacs+",Nil,Nil,Nil,Nil,"Rs 71,00,130.62
71 Lacs+",
