0,1,2,3,4,5,6,7,8
i,Cash,"49,182  49 Thou+","10,999  10 Thou+",Nil,Nil,Nil,Nil,"Rs 60,181
60 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Bank of Maharashtra, Ac No.20010527774
33,69,868.59  33 Lacs+

State Bank of India, Ac No. 35345958406
2,216  2 Thou+

State Bank of India, Ac No. 10768202375
25,13,841  25 Lacs+

Saraswat Bank, Ac No. 27921900000064
15,05,998.60  15 Lacs+","Bank of Maharashtra, Ac No.20010527785
34,87,295  34 Lacs+

Saraswat Bank Ac no.279200100001365
14,99,794.97  14 Lacs+

Axix Bank Ac No.914010029214254
3,17,453  3 Lacs+

Saraswat Bank, Fixed Deposit
50,00,000  50 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,76,96,467.16
1 Crore+"
iii,"Bonds, Debentures and Shares in companies",Nil,"Heramb Construction Pvt. Ltd. Share
45,000  45 Thou+

Heramb Education Pvt. Ltd. Shares
5,000  5 Thou+

Saraswat Bank Shares
25,000  25 Thou+

FD Saraswat bank
50,00,000  50 Lacs+",Nil,Nil,Nil,Nil,"Rs 50,75,000
50 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,"Rajnanda Sarvankar
3,00,000  3 Lacs+

Waghmore Vilas
1,15,000  1 Lacs+","Jaysing Chouhan
5,00,000  5 Lacs+

Sathe
50,000  50 Thou+

Super Stationary
50,000  50 Thou+",Nil,Nil,Nil,Nil,"Rs 10,15,000
10 Lacs+"
vi,"Motor Vehicles (details of make, etc.)","Toyoto Fortuner MH-01-BU-0234, Year 29-10-2014
28,63,197  28 Lacs+","Toyoto Innova MH-01-CP-0234, Year 2-5-2012
20,36,998  20 Lacs+",Nil,Nil,Nil,Nil,"Rs 49,00,195
49 Lacs+"
vii,Jewellery (give details weight value),Nil,Nil,Nil,Nil,Nil,Nil,Nil
viii,"Other assets, such as values of claims / interests","Vevar Utility Service (Partner)
12,50,000  12 Lacs+

Pradeep Raja (Rent)
50,000  50 Thou+","Shop Rent, Wani Chawl
2,50,000  2 Lacs+

Rent Ground Floor, Botawala Chawl, New Prabhadevi Road
6,00,000  6 Lacs+",Nil,Nil,Nil,Nil,"Rs 21,50,000
21 Lacs+"
Gross Total Value (as per Affidavit),"1,20,19,300.51  1 Crore+","1,43,27,540.87  1 Crore+",Nil,Nil,Nil,Nil,"Rs 2,63,46,841.38
2 Crore+",
Totals (Calculated as Sum of Values),"Rs 1,20,19,303.19
1 Crore+","Rs 1,88,77,539.97
1 Crore+",Nil,Nil,Nil,Nil,"Rs 3,08,96,843.16
3 Crore+",
