0,1,2,3,4,5,6,7,8
i,Cash,"1,85,500  1 Lacs+","1,72,200  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,57,700
3 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Sant Sopankaka Co-Op Bank Ltd
4,402  4 Thou+

Sant Sopankaka Co-Op Bank Ltd
1,29,741  1 Lacs+

Sant Sopankaka Co-Op Bank Ltd
7,952  7 Thou+

Sant Sopankaka Co-Op Bank Ltd
1,269  1 Thou+

Sant Sopankaka Co-Op Bank Ltd,Hadapsar Branch
1,881  1 Thou+

Sant Sopankaka Co-Op Bank Ltd,FDR
94,297  94 Thou+

SBI Bank
71,135  71 Thou+

HDFC Bank
2,01,422  2 Lacs+

Insaind Bank Ltd
21,346  21 Thou+

Thane Janta Co-Op Bank
1,61,581  1 Lacs+

Syndicate bank
13,415  13 Thou+

P.D.C.C.Bank,Saswad
3,63,332  3 Lacs+

P.D.C.C.Bank,Saswad
1,000  1 Thou+

Axis Bank
10,771  10 Thou+

Purandar N.Co-Op Bank
600  6 Hund+

Purandar N.Co-Op Bank
23,909  23 Thou+

Purandar N.Co-Op Bank
50,000  50 Thou+

Purandar N.Co-Op Bank
50,000  50 Thou+","Walvhe Gramin Non Agricultural co-Bank
1,33,340  1 Lacs+

Purandar N.Co-Op Bank
46,692  46 Thou+

Purandar N.Co-Op Bank
46,692  46 Thou+

Purandar N.Co-Op Bank saving Account
2,088  2 Thou+

Sant Sopankaka Co-Op bank Ltd. Branch,Washi
1,05,838  1 Lacs+

Sant Sopankaka Co-Op bank Ltd.
3,788  3 Thou+

Sant Sopankaka Co-Op bank Ltd.
1,32,451  1 Lacs+

Sant Sopankaka Co-Op bank Ltd.
68,466  68 Thou+

Sant Sopankaka Co-Op bank Ltd.
4,00,912  4 Lacs+

Sant Sopankaka Co-Op bank Ltd.
42,202  42 Thou+

Sant Sopankaka Co-Op bank Ltd.
75,226  75 Thou+

Sant Sopankaka Co-Op bank Ltd.
20,381  20 Thou+

Sant Sopankaka Co-Op bank Ltd.
18,600  18 Thou+

Cosmos Co-Op Bank Ltd Pashan
5,72,604  5 Lacs+

HDFC Bank
7,40,419  7 Lacs+

HDFC Bank
16,385  16 Thou+

SBI Bank
3,58,542  3 Lacs+",Nil,"Purandar Nagari Co-Op Bank Deposits
46,692  46 Thou+

Anuganga Deposits
25,000  25 Thou+",Nil,Nil,"Rs 40,64,371
40 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Purandar Milk & Agro Product ltd
3,08,17,400  3 Crore+

Sant Sopankaka Co-Op Bank ltd
5,00,000  5 Lacs+

Silver Jubilee Infra Ltd
20,000  20 Thou+

Purandar Nagari Bank
5,000  5 Thou+

Silver Jubilee Publication Pvt Ltd
2,80,000  2 Lacs+

Thane Janta co-Op bank
65,000  65 Thou+

Cyndicate Bank
7,300  7 Thou+

Cosmos co-op Bank
62,500  62 Thou+

Silver Jubilee Investment Pvt Ltd
1,70,00,000  1 Crore+

Silver Jubilee Traves
330  3 Hund+

Silver Jubilee Motors Ltd
29,87,59,300  29 Crore+

Reliable Financial Services And Solution Pvt Ltd
50,000  50 Thou+

silver Jubilee Solution Pvt Ltd
15,000  15 Thou+

Silver Jubilee Education And Social Fo.
10  

Historical Dev.Recerch F.
10  

Aanandi Purandar Medi and Edu.F.
10,000  10 Thou+

Sanjivani Purandar water F.
5,000  5 Thou+

Sant Sopankaka Chairitable F
50,000  50 Thou+

Center For tolent Test F
50,000  50 Thou+

Indigred Enterprises (India) Pvt.Ltd
10,000  10 Thou+

Baramati Agro Ltd
4,500  4 Thou+

Aanandi Kadrilogy And dai Center LLP
50,000  50 Thou+

Purandar Infra LLP
50,000  50 Thou+

Purandar Logistick LLP
50,000  50 Thou+

Silver Jubilee Air Line LLP
10,000  10 Thou+

Someshwar Co-Op Sugar Factory,Someshwar
10,000  10 Thou+","Sant sopankaka co-op Bank Ltd
5,00,000  5 Lacs+

Silver Motors pvt Ltd
1,66,650  1 Lacs+

Silver jubilee Traves
330  3 Hund+

Purandar Milk And Agro Product Ltd
10,000  10 Thou+

Silver Jubilee Infra Ltd
20,000  20 Thou+

Bingo Micro Solar Power Sulution LLP
90,000  90 Thou+

Aanandi Milk and Dairy products LLP
25,000  25 Thou+

Indira Mahila bank
1,000  1 Thou+

Purandar nagari Bank
5,000  5 Thou+",Nil,Nil,Nil,Nil,"Rs 34,86,99,330
34 Crore+"
iv,"(a)
NSS, Postal Savings etc","Kisan vikas Patre- 729249 to 729260
1,20,000  1 Lacs+

Kisan vikas Patre- 729871 to 729873
30,000  30 Thou+

Saswad post office RD
1,60,000  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 3,10,000
3 Lacs+"
"(b)
LIC or other insurance Policies","LIC Policies
11,51,287  11 Lacs+

LIC Policies
6,49,846  6 Lacs+

LIC Policies
33,027  33 Thou+

ICIC Life pollicy
7,61,870  7 Lacs+

Life Insurance Of india policy
10,77,942  10 Lacs+

Life Insurance Of india policy
23,03,785  23 Lacs+","Life Insurance Co-Of India Policy
23,95,585  23 Lacs+

SBI Bank Policy
5,00,000  5 Lacs+",Nil,"Life Insurance of india policy
22,72,461  22 Lacs+

Life Insurance of india policy
22,72,461  22 Lacs+

Life Insurance of india policy
86,742  86 Thou+",Nil,Nil,"Rs 1,35,05,006
1 Crore+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Rexoton Vehicles
18,16,927  18 Lacs+

Boloro Invendar
4,25,842  4 Lacs+

Zhaylo
2,50,000  2 Lacs+

XUV-500
6,70,000  6 Lacs+

Logan
2,40,000  2 Lacs+

XUV Vehicles
14,00,000  14 Lacs+

Attrs Vehicles
36,76,775  36 Lacs+","XXUV500 Vehicles
14,66,270  14 Lacs+",Nil,Nil,Nil,Nil,"Rs 99,45,814
99 Lacs+"
vii,Jewellery (give details weight value),"Gold-21 Tola
7,35,000  7 Lacs+","Gold-73 Tola
26,28,000  26 Lacs+

Diamond set
5,00,000  5 Lacs+

Silver 16 Kilo
7,84,000  7 Lacs+",Nil,"Gold-6 Tola
2,20,000  2 Lacs+",Nil,Nil,"Rs 48,67,000
48 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"36,43,77,204  36 Crore+","1,20,32,276  1 Crore+",Nil,"49,23,356  49 Lacs+",Nil,Nil,"Rs 38,13,32,836
38 Crore+",
