0,1,2,3,4,5,6,7,8
i,Cash,"1,50,000  1 Lacs+","2,00,000  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,50,000
3 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","HDFC Bank
85,000  85 Thou+

Independence Bank
2,864  2 Thou+

Sarasvat Bank
32,092  32 Thou+

Dena Bank
11,36,060  11 Lacs+

State Bank Of India
3,72,990  3 Lacs+

Citizen Patsanstha
4,048  4 Thou+","Independence Bank
4,813  4 Thou+

Surya Builtwell
3,139  3 Thou+

Shri Raj Developers
1,50,000  1 Lacs+

Vishvas Co Op Bank
29,268  29 Thou+

Surya Builtvel
5,900  5 Thou+

Surya Builtvel
64,426  64 Thou+

Dena Bank
11,36,061  11 Lacs+

Citizen Patsasntha
1,405  1 Thou+

Yes Bank
2,19,915  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 32,47,981
32 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Vishvas Bank
17,200  17 Thou+

Nashik District Bank
100  1 Hund+

Nashik Merchant Co Op Bank
1,000  1 Thou+

Independence Bank
1,000  1 Thou+

Bharat Heavy
9,500  9 Thou+

Claim India
24,390  24 Thou+

GMR
9,000  9 Thou+

Reliance Com
986  9 Hund+

Reliance Indu.
80,280  80 Thou+

Reliance Power
150  1 Hund+

SBI
45,255  45 Thou+

Sesa Ster
52,300  52 Thou+

Citizen Bank
5,000  5 Thou+

Franqlin Templton
40,000  40 Thou+

Reliance Commu
40,000  40 Thou+

Vedanta Ltd
40,494  40 Thou+","Vishvas Bank
1,08,900  1 Lacs+

Nashik Merchant Co Op Bank
100  1 Hund+

Aditya Birla Cap
3,75,070  3 Lacs+

Citizen Bank
1,000  1 Thou+

Nuovogen Buildtech Pvt Ltd
2,50,000  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 11,01,725
11 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC
4,00,000  4 Lacs+

Max Life
2,25,839  2 Lacs+

ICICI Prudential
2,00,000  2 Lacs+","LIC
8,00,000  8 Lacs+

LIC
5,00,000  5 Lacs+

LIC
2,00,000  2 Lacs+

LIC
1,00,000  1 Lacs+

LIC
5,00,000  5 Lacs+

LIC
2,50,000  2 Lacs+

LIC
2,50,000  2 Lacs+

LIC
1,00,000  1 Lacs+

Tata Aig
1,00,000  1 Lacs+

Max Life
4,15,934  4 Lacs+

Birla Sun Life
1,50,000  1 Lacs+

Reli Nipp Life Insu
1,42,800  1 Lacs+

Reliance LIfe Insu
1,50,000  1 Lacs+

ICICI Prudential
2,00,000  2 Lacs+

LIC
1,00,000  1 Lacs+",Nil,"LIC
10,00,000  10 Lacs+",Nil,Nil,"Rs 57,84,573
57 Lacs+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Innova Car
18,50,000  18 Lacs+","Vento Car
11,00,000  11 Lacs+

Innova Crysta
27,00,000  27 Lacs+

Activa
55,000  55 Thou+",Nil,Nil,Nil,Nil,"Rs 57,05,000
57 Lacs+"
vii,Jewellery (give details weight value),"150 Gram
5,25,000  5 Lacs+","50 Gram
1,75,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 7,00,000
7 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"60,95,548  60 Lacs+","1,05,48,889  1 Crore+",Nil,Nil,Nil,Nil,"Rs 1,66,44,437
1 Crore+",
Totals (Calculated as Sum of Values),"Rs 53,50,548
53 Lacs+","Rs 1,05,38,731
1 Crore+",Nil,"Rs 10,00,000
10 Lacs+",Nil,Nil,"Rs 1,68,89,279
1 Crore+",
