0,1,2,3,4,5,6,7,8
i,Cash,"40,000  40 Thou+","30,000  30 Thou+",Nil,Nil,Nil,Nil,"Rs 70,000
70 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","BOI 051410100017770
21,109  21 Thou+

BOI 051410110014863
13,658  13 Thou+

Central Bank Of India 3392301282
6,411  6 Thou+

ICICI Bank 3901241786
10,337  10 Thou+

Shri Mahalaxmi Co Operative Bank 009201000002697
1,000  1 Thou+","BOI 0514110110005242
38,592  38 Thou+

Thane Janata Co Operative Bank 017110100001961
18,767  18 Thou+","Thane Janata Co Operative Bank 17SB/2717
7,095  7 Thou+","BOI 051410110011520
1,73,259  1 Lacs+

BOI 0514110110005241
723  7 Hund+","BOI 051410110011518
4,95,875  4 Lacs+",Nil,"Rs 7,86,826
7 Lacs+"
iii,"Bonds, Debentures and Shares in companies","HDFC Bank 250
3,25,052  3 Lacs+

Mahalaxmi Co Operative Bank Ltd
1,000  1 Thou+","Sanghvi Movers 500
45,000  45 Thou+

Mahalaxmi Co Operative Bank Ltd
5,000  5 Thou+",Nil,Nil,Nil,Nil,"Rs 3,76,052
3 Lacs+"
iv,"(a)
NSS, Postal Savings etc","BOI PPF 05140PPF000000001222
5,228  5 Thou+","BOI PPF 05140PPF000000002088
1,052  1 Thou+",Nil,"PPF 05140PPF000000002087
1,052  1 Thou+",Nil,Nil,"Rs 7,332
7 Thou+"
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Audi MH12RK1214
76,25,000  76 Lacs+

ECCO 7STR NM MH12HZ4906
2,50,000  2 Lacs+

Suzuki Access MH12RZ0566
74,000  74 Thou+

Royal Enfield MH12HW4444
80,000  80 Thou+

Activa Honda MH12CL9182
10,000  10 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 80,39,000
80 Lacs+"
vii,Jewellery (give details weight value),"Gold Rings & Ornaments 120 Grams
4,62,000  4 Lacs+

Gold Rings & Ornaments 110 Grams
2,94,000  2 Lacs+","Gold Ring 110 Grams
4,23,500  4 Lacs+

Silver Ornaments 5Kgs
2,45,000  2 Lacs+",Nil,"Gold Rings 100 Grams
3,85,000  3 Lacs+

Silver Ornaments 5Kgs
2,45,000  2 Lacs+","Gold Rings 115 Grams
4,42,750  4 Lacs+

Silver Ornaments 5Kgs
2,45,000  2 Lacs+",Nil,"Rs 27,42,250
27 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"92,18,795  92 Lacs+","8,06,911  8 Lacs+","7,095  7 Thou+","8,05,034  8 Lacs+","11,83,625  11 Lacs+",Nil,"Rs 1,20,21,460
1 Crore+",
Totals (Calculated as Sum of Values),"Rs 92,18,795
92 Lacs+","Rs 8,06,911
8 Lacs+","Rs 7,095
7 Thou+","Rs 8,05,034
8 Lacs+","Rs 11,83,625
11 Lacs+",Nil,"Rs 1,20,21,460
1 Crore+",
