0,1,2,3,4,5,6,7,8
i,Cash,"27,000  27 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 27,000
27 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","State Bank of india,Branch - Tasgaon
80,079.60  80 Thou+

State Bank of india,Branch-Mumbai
8,27,058  8 Lacs+

Bank of india,Branch-Tasgaon
1,271.32  1 Thou+

Sangali District Madhyavarti Co-Op.Bank,Branch-Anjani
1,91,370.51  1 Lacs+

Sangali District Madhyavarti Co-Op.,Branch-Anjani
12,50,368  12 Lacs+

Sangali District Madhyavarti Co-Op bank, Term Deposits No.1649
35,000  35 Thou+

Sangali district Madhyavarti Co-Op.Bank, Term Deposits No.1771
35,000  35 Thou+

Sangali District madhyavarti Co-Op. Bank, Term Deposits Account No.1951
37,625  37 Thou+

SangaliDistrict Madhyavarti Co-Bank,Term Deposit Account No.2164
35,000  35 Thou+

Rayat Sevak Co-Op.Bank,Branch-Satara. (Late.R.R.Patil Bank Account)
21,010  21 Thou+",Nil,Nil,"Sangali District Madhyavarti Co.Op.,Branch -Anjani
2,91,773.59  2 Lacs+

Sangali District Madhyavarti Co-Op.,Bank- Shirdhon
1,09,314  1 Lacs+

Jay javan Maji Sainik Nagari Co-Operative Bank Marya,Anjani-Term Deposits
13,000  13 Thou+","State Bank of india, Branch-Mumbai
2,43,176  2 Lacs+

Sangali District Madhyavarti Co-Op.,Branch-Anjani
39,466  39 Thou+

Krushna Co-Operative bank Ltd,Branch-Malkapur
411  4 Hund+","RBAL Bank, Branch-Pune
10,520  10 Thou+

Sangali District Madhyavarti Co-op.,Branch-Anjani
31,284.14  31 Thou+

State bank of india,Branch-Tasgaon
0","Rs 32,52,727.16
32 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Swami Ramanand Bharati Co-Op.Sut Girni Ltd.Tasgaon
6,000  6 Thou+

Ad.R.R.Patil Farmer Purchase-Selling Sangh,Tasgaon
100  1 Hund+

Shrimati Bhagirathikaki ramrav patil Co-Op. Co-Op.Milk Business Organazation,Anjanai,Taluka-Tasgaon
100  1 Hund+

M.R.R. (Aaba) Patil Vivedh karyakari Co-Op. Society Ltd.,Anjani
8,400  8 Thou+

Grape City Vaynari Co-Op. Society Ltd. Savalaj
50,000  50 Thou+

Shetkari Co-Op.Fruit,Flowers,Vegetables Seller Shetimal Prakriya V Sathvanuk Organazation,Tasgaon
2,000  2 Thou+

Tasgaon Palus Co-Op. Sakhar Factory Turchi,Tasgaon
3,022  3 Thou+

Vasantdada Shetkari Co-Op. sugar Factory,Sangali
10,000  10 Thou+

Swami ramanand Bharti Co-op.Sutgirni Ltd.,tasgaon
6,000  6 Thou+

Ad.R.R.Patil Shetkari K.V.Sangh Ltd,Tasgaon
100  1 Hund+

Aabasaheb kisan Co-Op. bank Ltd,tasgaon
250  2 Hund+

Sahyadri Nagari Co-Op. Bank Ltd.,Sangali
100  1 Hund+

Shrimati Bhagirathikaki ramrao patil Co. Milk Business Organazation, Taluka-Tasgaon
970  9 Hund+

Grape City Vaynari Co.Op.Organazation Ltd,Savlaj
50,000  50 Thou+

Shetkari Co-Op.Fruit,Flowers,Vegetables Seller Shetimal Prakriya V Sathvanuk Organazation,Tasgaon
2,000  2 Thou+

Tasgaon Taluka shetkari Co-Op. Bayoshugar Factory,Tasgaon
2,000  2 Thou+",Nil,Nil,"Swami ramanand Bharati Co. Sutgirni Ltd.Tasgaon
6,000  6 Thou+

Shrimati Bhagirathikaki ramrao patil Co.Op. Milk business,Organazation,Anjani,Taluka-Tasgaon
100  1 Hund+

M.R.R.(Aaba) Patil Vivedh Karyakari Co-Op.Society Ltd. Anjani,Taluka-Tasgaon
105  1 Hund+","Ad.R.R.Patil Shetkari Selling-Purchase Sangh Ltd,Tasgaon
100  1 Hund+","Ad.R.R.Patil Shetkari Selling-Purchase Sangh Ltd.,Tasgaon
100  1 Hund+

Swami Ramanand Bhrati Co-Op. Sutgirni Ltd,Tasgaon
6,000  6 Thou+","Rs 1,53,447
1 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","H.D.F.C.Policy
3,48,658.86  3 Lacs+",Nil,Nil,Nil,"L.I.C. Policy
3,68,766  3 Lacs+

H.D.F.C. Policy
22,999.20  22 Thou+","LIC Policy
3,32,627  3 Lacs+

H.D.F.C.Policy
23,037.48  23 Thou+","Rs 10,96,088.54
10 Lacs+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Mahindra Geep MH10-8341
27,000  27 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 27,000
27 Thou+"
vii,Jewellery (give details weight value),"Gold-161.08 Gram
5,69,921  5 Lacs+",Nil,Nil,"Gold-250.01 Gram
9,20,037  9 Lacs+","Gold-76,3 Gram
2,58,299  2 Lacs+","Gram-20.6 Gram
69,736  69 Thou+","Rs 18,17,993
18 Lacs+"
viii,"Other assets, such as values of claims / interests","Pistul
15,000  15 Thou+

plot No.901,A 1 B,Shree laxmi Residency,N.M.Joshi Marg,Bhaykhala,Mumbai
1,00,000  1 Lacs+",Nil,Nil,Nil,Nil,"Mukhya Bajar Aavar-Tasgaon Plot No.33
3,00,000  3 Lacs+","Rs 4,15,000
4 Lacs+"
Gross Total Value (as per Affidavit),"37,42,504  37 Lacs+",Nil,Nil,"13,40,329  13 Lacs+","9,33,217  9 Lacs+","7,73,304  7 Lacs+","Rs 67,89,354
67 Lacs+",
