0,1,2,3,4,5,6,7,8
i,Cash,"1,00,000  1 Lacs+","40,000  40 Thou+",Nil,"5,000  5 Thou+",Nil,Nil,"Rs 1,45,000
1 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Indain Bank,Kalyan Branch A/c No.3243
3,83,495  3 Lacs+

BOM Khadakpada,Om Cunstruction A/c No.5893
1,000  1 Thou+

BOM Khadakpada.Varvinayak Builder A/c No.6835
4,431  4 Thou+","BOM Khadakpada,A/C.No.8147
34,193  34 Thou+",Nil,"BOM Khadakpada,A/C.No.2635
309  3 Hund+",Nil,Nil,"Rs 4,23,428
4 Lacs+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC
2,00,000  2 Lacs+

LIC
1,50,000  1 Lacs+

LIC
2,00,000  2 Lacs+","LIC
1,00,000  1 Lacs+

LIC
2,00,000  2 Lacs+

LIC
2,00,000  2 Lacs+

LIC
85,000  85 Thou+",Nil,"LIC
2,00,000  2 Lacs+",Nil,Nil,"Rs 13,35,000
13 Lacs+",
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Maruti MH04 R-637
25,000  25 Thou+

Xylo MH05 OP4400
1,25,000  1 Lacs+

Fortuner MH04 JJ0009
12,00,000  12 Lacs+

JCB MH05 JD398
7,00,000  7 Lacs+

Dumper MH05 AM
2,00,000  2 Lacs+",Nil,Nil,"TwoWheeler Suzuki Jixxer MH05 CJ4400
25,000  25 Thou+

TwoWheeler Bullet MH05 DT0009
1,00,000  1 Lacs+",Nil,Nil,"Rs 23,75,000
23 Lacs+"
vii,Jewellery (give details weight value),"25 Gram Gold
1,00,000  1 Lacs+","275 Gram Gold
9,00,000  9 Lacs+",Nil,Nil,Nil,Nil,"Rs 10,00,000
10 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"33,88,926  33 Lacs+","15,59,193  15 Lacs+",Nil,"3,30,309  3 Lacs+",Nil,Nil,"Rs 52,78,428
52 Lacs+",
Totals (Calculated as Sum of Values),"Rs 33,88,926
33 Lacs+","Rs 15,59,193
15 Lacs+",Nil,"Rs 3,30,309
3 Lacs+",Nil,Nil,"Rs 52,78,428
52 Lacs+",
